Tipo de vivienda	Tipo de vivienda, código	Tipo de vivienda principal	Tipo de vivienda principal, código	Comarca nombre	Comarca codigo	Nº viviendas
Vivienda principal	1	Vivienda principal convencional	1	Alto Gállego	02	5914,6394492551
Vivienda principal	1	Vivienda principal convencional	1	Andorra-Sierra de Arcos	27	4412,0456184683
Vivienda principal	1	Vivienda principal convencional	1	Aranda	14	2895,4227874553
Vivienda principal	1	Vivienda principal convencional	1	Bajo Aragón	28	11597,4209007672
Vivienda principal	1	Vivienda principal convencional	1	Bajo Aragón-Caspe / Baix Aragó-Casp	19	5543,4520739361
Vivienda principal	1	Vivienda principal convencional	1	Bajo Cinca / Baix Cinca	11	8959,6584175107
Vivienda principal	1	Vivienda principal convencional	1	Bajo Martín	23	2858,1420473516
Vivienda principal	1	Vivienda principal convencional	1	Campo de Belchite	22	2214,4163394924
Vivienda principal	1	Vivienda principal convencional	1	Campo de Borja	13	5799,1000049825
Vivienda principal	1	Vivienda principal convencional	1	Campo de Cariñena	21	4324,4547174184
Vivienda principal	1	Vivienda principal convencional	1	Campo de Daroca	24	2749,9344917012
Vivienda principal	1	Vivienda principal convencional	1	Cinca Medio	08	9186,1187982936
Vivienda principal	1	Vivienda principal convencional	1	Cinco Villas	05	12480,4584600737
Vivienda principal	1	Vivienda principal convencional	1	Comunidad de Calatayud	20	16633,1528173642
Vivienda principal	1	Vivienda principal convencional	1	Comunidad de Teruel	29	17851,9416597113
Vivienda principal	1	Vivienda principal convencional	1	Cuencas Mineras	26	3443,5476329306
Vivienda principal	1	Vivienda principal convencional	1	D.C. Zaragoza	17	306037,433402569
Vivienda principal	1	Vivienda principal convencional	1	Gúdar-Javalambre	32	3386,4465472437
Vivienda principal	1	Vivienda principal convencional	1	Hoya de Huesca / Plana de Uesca	06	27120,3495853479
Vivienda principal	1	Vivienda principal convencional	1	Jiloca	25	5579,5476408486
Vivienda principal	1	Vivienda principal convencional	1	La Jacetania	01	7566,8139811359
Vivienda principal	1	Vivienda principal convencional	1	La Litera / La Llitera	09	7388,1914193395
Vivienda principal	1	Vivienda principal convencional	1	La Ribagorza	04	5319,1642392321
Vivienda principal	1	Vivienda principal convencional	1	Los Monegros	10	7859,2717912444
Vivienda principal	1	Vivienda principal convencional	1	Maestrazgo	30	1471,2841476618
Vivienda principal	1	Vivienda principal convencional	1	Matarraña / Matarranya	33	3458,8252468526
Vivienda principal	1	Vivienda principal convencional	1	Ribera Alta del Ebro	15	10621,0779056795
Vivienda principal	1	Vivienda principal convencional	1	Ribera Baja del Ebro	18	3771,2938004468
Vivienda principal	1	Vivienda principal convencional	1	Sierra de Albarracín	31	2042,0195734291
Vivienda principal	1	Vivienda principal convencional	1	Sobrarbe	03	3005,3742939054
Vivienda principal	1	Vivienda principal convencional	1	Somontano de Barbastro	07	9863,7296039321
