Año	Residencia CCAA nombre	Edad (grandes grupos)	Sexo	Relación lugar de residencia y nacimiento	Personas
1998	Aragón	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	55771
1998	Aragón	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	19097
1998	Aragón	0 a 15	Hombres	3 - Misma CA y distinta provincia	2808
1998	Aragón	0 a 15	Hombres	4 - Distinta CA	5679
1998	Aragón	0 a 15	Hombres	5 - Nacidos en el extranjero	717
1998	Aragón	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	53538
1998	Aragón	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	18031
1998	Aragón	0 a 15	Mujeres	3 - Misma CA y distinta provincia	2627
1998	Aragón	0 a 15	Mujeres	4 - Distinta CA	5419
1998	Aragón	0 a 15	Mujeres	5 - Nacidos en el extranjero	677
1998	Aragón	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	201997
1998	Aragón	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	83353
1998	Aragón	16 a 64	Hombres	3 - Misma CA y distinta provincia	24636
1998	Aragón	16 a 64	Hombres	4 - Distinta CA	66055
1998	Aragón	16 a 64	Hombres	5 - Nacidos en el extranjero	7083
1998	Aragón	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	184369
1998	Aragón	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	88037
1998	Aragón	16 a 64	Mujeres	3 - Misma CA y distinta provincia	26268
1998	Aragón	16 a 64	Mujeres	4 - Distinta CA	67938
1998	Aragón	16 a 64	Mujeres	5 - Nacidos en el extranjero	6566
1998	Aragón	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	52342
1998	Aragón	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	25530
1998	Aragón	65 y más	Hombres	3 - Misma CA y distinta provincia	8878
1998	Aragón	65 y más	Hombres	4 - Distinta CA	17231
1998	Aragón	65 y más	Hombres	5 - Nacidos en el extranjero	654
1998	Aragón	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	60746
1998	Aragón	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	37971
1998	Aragón	65 y más	Mujeres	3 - Misma CA y distinta provincia	12581
1998	Aragón	65 y más	Mujeres	4 - Distinta CA	24154
1998	Aragón	65 y más	Mujeres	5 - Nacidos en el extranjero	855
1999	Aragón	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	55899
1999	Aragón	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	17910
1999	Aragón	0 a 15	Hombres	3 - Misma CA y distinta provincia	2582
1999	Aragón	0 a 15	Hombres	4 - Distinta CA	5255
1999	Aragón	0 a 15	Hombres	5 - Nacidos en el extranjero	764
1999	Aragón	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	53458
1999	Aragón	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	16875
1999	Aragón	0 a 15	Mujeres	3 - Misma CA y distinta provincia	2403
1999	Aragón	0 a 15	Mujeres	4 - Distinta CA	4994
1999	Aragón	0 a 15	Mujeres	5 - Nacidos en el extranjero	688
1999	Aragón	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	203775
1999	Aragón	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	83903
1999	Aragón	16 a 64	Hombres	3 - Misma CA y distinta provincia	24217
1999	Aragón	16 a 64	Hombres	4 - Distinta CA	65755
1999	Aragón	16 a 64	Hombres	5 - Nacidos en el extranjero	7520
1999	Aragón	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	186394
1999	Aragón	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	88299
1999	Aragón	16 a 64	Mujeres	3 - Misma CA y distinta provincia	25812
1999	Aragón	16 a 64	Mujeres	4 - Distinta CA	67407
1999	Aragón	16 a 64	Mujeres	5 - Nacidos en el extranjero	6924
1999	Aragón	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	54107
1999	Aragón	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	26259
1999	Aragón	65 y más	Hombres	3 - Misma CA y distinta provincia	9067
1999	Aragón	65 y más	Hombres	4 - Distinta CA	17945
1999	Aragón	65 y más	Hombres	5 - Nacidos en el extranjero	668
1999	Aragón	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	62847
1999	Aragón	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	39136
1999	Aragón	65 y más	Mujeres	3 - Misma CA y distinta provincia	12863
1999	Aragón	65 y más	Mujeres	4 - Distinta CA	25186
1999	Aragón	65 y más	Mujeres	5 - Nacidos en el extranjero	883
2000	Aragón	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	57214
2000	Aragón	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	17021
2000	Aragón	0 a 15	Hombres	3 - Misma CA y distinta provincia	2441
2000	Aragón	0 a 15	Hombres	4 - Distinta CA	5367
2000	Aragón	0 a 15	Hombres	5 - Nacidos en el extranjero	1021
2000	Aragón	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	54492
2000	Aragón	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	16099
2000	Aragón	0 a 15	Mujeres	3 - Misma CA y distinta provincia	2291
2000	Aragón	0 a 15	Mujeres	4 - Distinta CA	5020
2000	Aragón	0 a 15	Mujeres	5 - Nacidos en el extranjero	927
2000	Aragón	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	204234
2000	Aragón	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	85461
2000	Aragón	16 a 64	Hombres	3 - Misma CA y distinta provincia	24355
2000	Aragón	16 a 64	Hombres	4 - Distinta CA	67343
2000	Aragón	16 a 64	Hombres	5 - Nacidos en el extranjero	9431
2000	Aragón	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	187356
2000	Aragón	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	89187
2000	Aragón	16 a 64	Mujeres	3 - Misma CA y distinta provincia	25804
2000	Aragón	16 a 64	Mujeres	4 - Distinta CA	68562
2000	Aragón	16 a 64	Mujeres	5 - Nacidos en el extranjero	8217
2000	Aragón	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	55368
2000	Aragón	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	26885
2000	Aragón	65 y más	Hombres	3 - Misma CA y distinta provincia	9294
2000	Aragón	65 y más	Hombres	4 - Distinta CA	18597
2000	Aragón	65 y más	Hombres	5 - Nacidos en el extranjero	725
