Año	Comarca código	Comarca nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2004	09	La Litera / La Llitera	10213											8100			18313
2004	10	Los Monegros	11279											8467			19746
2004	11	Bajo Cinca / Baix Cinca	11098											6188			17286
2004	12	Tarazona y el Moncayo	10300											5414			15714
2004	13	Campo de Borja	8840											4364			13204
2004	14	Aranda	5796											4148			9944
2004	15	Ribera Alta del Ebro	11436											5799			17235
2004	16	Valdejalón	12976											7185			20161
2004	17	Central	303604											154066			457670
2004	18	Ribera Baja del Ebro	5697											2203			7900
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7577											4183			11760
2004	20	Comunidad de Calatayud	30703											17104			47807
2004	21	Campo de Cariñena	6921											3309			10230
2004	22	Campo de Belchite	5606											1521			7127
2004	23	Bajo Martín	5730											2319			8049
2004	24	Campo de Daroca	8302											3163			11465
2004	25	Jiloca	12859											6953			19812
2004	26	Cuencas Mineras	7854											5487			13341
2004	27	Andorra-Sierra de Arcos	7138											3622			10760
2004	28	Bajo Aragón	16207											9955			26162
2004	29	Comunidad de Teruel	24157											17837			41994
2004	30	Maestrazgo	3539											2864			6403
2004	31	Sierra de Albarracín	6492											2730			9222
2004	32	Gúdar-Javalambre	10670											6190			16860
2004	33	Matarraña / Matarranya	7254											2807			10061
2005	01	La Jacetania	20220											18456			38676
2005	02	Alto Gállego	12532											10441			22973
2005	03	Sobrarbe	4569											4433			9002
2005	04	La Ribagorza	9734											10623			20357
2005	05	Cinco Villas	18237											10664			28901
2005	06	Hoya de Huesca / Plana de Uesca	33406											29002			62408
2005	07	Somontano de Barbastro	12503											8918			21421
2005	08	Cinca Medio	10976											7008			17984
2005	09	La Litera / La Llitera	10339											8139			18478
2005	10	Los Monegros	11286											8500			19786
2005	11	Bajo Cinca / Baix Cinca	11306											6324			17630
2005	12	Tarazona y el Moncayo	10268											5430			15698
2005	13	Campo de Borja	8924											4393			13317
2005	14	Aranda	5808											4153			9961
2005	15	Ribera Alta del Ebro	11568											5805			17373
2005	16	Valdejalón	13199											7755			20954
2005	17	Central	309796											157891			467687
2005	18	Ribera Baja del Ebro	5697											2207			7904
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7599											4185			11784
2005	20	Comunidad de Calatayud	30936											17470			48406
2005	21	Campo de Cariñena	6959											3426			10385
2005	22	Campo de Belchite	5602											1528			7130
2005	23	Bajo Martín	5723											2371			8094
2005	24	Campo de Daroca	8331											3233			11564
2005	25	Jiloca	12890											6974			19864
2005	26	Cuencas Mineras	7883											5492			13375
2005	27	Andorra-Sierra de Arcos	7136											3628			10764
2005	28	Bajo Aragón	16413											10220			26633
2005	29	Comunidad de Teruel	24292											17921			42213
2005	30	Maestrazgo	3554											2875			6429
2005	31	Sierra de Albarracín	6501											2784			9285
2005	32	Gúdar-Javalambre	10982											6548			17530
2005	33	Matarraña / Matarranya	7319											2805			10124
2006	01	La Jacetania	21022	11499	941	392	3683	31	33	72	31	128	2	18877	2051	14	39899
2006	02	Alto Gállego	13209	6280	465	239	2054	20	32	48	14	71	6	11210	1967	14	24419
2006	03	Sobrarbe	5110	534	130	93	2015	20	25	22	35	120	1	4086	1086	5	9196
2006	04	La Ribagorza	10688	1977	236	85	3557	34	33	19	37	234	3	8586	2359	12	19274
2006	05	Cinco Villas	18501	2966	514	32	4133	65	47	81	38	101	21	10656	2644	14	29157
2006	06	Hoya de Huesca / Plana de Uesca	33753	14553	2515	89	7515	76	253	426	58	187	8	29208	3483	45	62961
2006	07	Somontano de Barbastro	12925	3188	696	111	2465	36	60	85	42	96	6	8807	2001	21	21732
2006	08	Cinca Medio	11255	2536	534	14	2554	28	23	65	13	25	5	7319	1506	16	18574
2006	09	La Litera / La Llitera	10435	1255	278	14	4922	20	55	44	8	51	0	8121	1462	12	18556
2006	10	Los Monegros	11560	388	134	29	5546	47	60	26	34	91	12	8416	2029	20	19976
2006	11	Bajo Cinca / Baix Cinca	11496	1498	329	122	3061	32	40	89	15	31	5	6453	1210	21	17949
2006	12	Tarazona y el Moncayo	10416	867	166	18	3215	24	19	22	5	37	4	5492	1106	9	15908
2006	13	Campo de Borja	9058	312	121	22	2439	20	29	25	10	37	7	4353	1321	10	13411
2006	14	Aranda	5838	443	130	6	2597	14	13	24	11	30	1	4193	919	5	10031
2006	15	Ribera Alta del Ebro	11869	869	216	24	2485	30	33	30	16	33	5	6148	2386	21	18017
2006	16	Valdejalón	13442	464	192	31	4589	27	45	59	15	33	7	7904	2429	13	21346
2006	17	Central	317705	104641	19705	504	22805	495	363	4328	118	211	42	163408	9850	346	481113
2006	18	Ribera Baja del Ebro	5740	41	39	21	1374	11	25	10	10	30	1	2215	648	5	7955
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7678	644	181	17	2307	20	23	15	9	23	5	4234	978	12	11912
2006	20	Comunidad de Calatayud	31613	4355	791	41	7449	75	54	91	54	204	11	17493	4338	30	49106
2006	21	Campo de Cariñena	7031	235	56	15	1987	22	14	18	10	32	10	3536	1135	2	10567
2006	22	Campo de Belchite	5619	3	19	4	961	11	7	6	25	28	3	1572	501	4	7191
