Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones con tierras	Explotaciones con tierras sin SAU	Explotaciones con tierras con SAU <5 hectáreas	Explotaciones con tierras con SAU >= 5 y < 10 hectáreas	Explotaciones con tierras con SAU >= 10 y < 20 hectáreas	Explotaciones con tierras con SAU >= 20 y < 50 hectáreas	Explotaciones con tierras con SAU >= 50 y < 100 hectáreas	Explotaciones con tierras con SAU >= 100 hectáreas	Explotaciones con tierras con SAU
1989	22001	Abiego	86	84	4	10	11	18	26	13	2	80
1989	22002	Abizanda	48	48	21	1	1	5	15	5	0	27
1989	22003	Adahuesca	69	69	9	12	6	17	18	2	5	60
1989	22004	Agüero	66	66	17	33	5	4	5	1	1	49
1989	22006	Aísa	50	50	6	24	9	9	1	0	1	44
1989	22007	Albalate de Cinca	294	291	20	114	67	66	16	4	4	271
1989	22008	Albalatillo	24	24	3	15	1	0	1	4	0	21
1989	22009	Albelda	282	281	1	98	88	67	20	3	4	280
1989	22011	Albero Alto	24	24	1	0	0	1	7	11	4	23
1989	22012	Albero Bajo	38	37	0	3	3	6	16	6	3	37
1989	22013	Alberuela de Tubo	74	74	2	5	0	35	25	5	2	72
1989	22014	Alcalá de Gurrea	38	36	0	3	4	7	2	7	13	36
1989	22015	Alcalá del Obispo	104	104	5	22	11	17	26	15	8	99
1989	22016	Alcampell	243	242	8	72	41	64	44	10	3	234
1989	22017	Alcolea de Cinca	295	291	21	117	22	49	50	21	11	270
1989	22018	Alcubierre	125	123	1	11	12	12	44	33	10	122
1989	22019	Alerre	18	18	0	5	2	1	2	6	2	18
1989	22020	Alfántega	31	31	2	7	8	10	4	0	0	29
1989	22021	Almudévar	537	523	3	193	98	75	75	41	38	520
1989	22022	Almunia de San Juan	107	104	3	47	16	10	18	6	4	101
1989	22023	Almuniente	128	128	3	6	28	60	26	2	3	125
1989	22024	Alquézar	100	100	6	32	24	19	16	3	0	94
1989	22025	Altorricón	298	296	11	153	64	49	12	5	2	285
1989	22027	Angüés	113	113	14	27	6	15	30	13	8	99
1989	22028	Ansó	27	20	4	14	1	1	0	0	0	16
1989	22029	Antillón	39	39	0	2	1	2	24	6	4	39
1989	22032	Aragüés del Puerto	25	25	2	11	8	2	1	0	1	23
1989	22035	Arén	92	92	2	14	17	13	21	12	13	90
1989	22036	Argavieso	41	41	2	6	6	14	10	2	1	39
1989	22037	Arguis	20	20	9	3	2	2	3	0	1	11
1989	22039	Ayerbe	226	223	40	102	28	14	23	9	7	183
1989	22040	Azanuy-Alins	98	98	7	10	12	22	25	17	5	91
1989	22041	Azara	61	61	3	10	11	19	15	3	0	58
1989	22042	Azlor	58	58	6	9	12	13	14	4	0	52
1989	22043	Baells	56	56	3	7	10	10	14	12	0	53
1989	22044	Bailo	100	99	15	10	11	17	27	16	3	84
1989	22045	Baldellou	75	75	15	26	13	15	6	0	0	60
1989	22046	Ballobar	179	177	3	40	11	26	43	48	6	174
1989	22047	Banastás	7	7	0	1	0	1	1	1	3	7
1989	22048	Barbastro	666	664	73	382	73	52	63	16	5	591
1989	22049	Barbués	46	46	0	2	10	13	8	11	2	46
1989	22050	Barbuñales	31	31	0	5	3	8	11	2	2	31
1989	22051	Bárcabo	48	47	9	3	3	8	18	4	2	38
1989	22052	Belver de Cinca	258	256	11	129	72	26	10	3	5	245
1989	22053	Benabarre	225	225	34	52	18	40	55	20	6	191
1989	22054	Benasque	61	59	16	8	11	15	5	2	2	43
1989	22055	Berbegal	91	91	0	10	4	19	29	22	7	91
1989	22057	Bielsa	95	95	10	49	15	15	4	1	1	85
1989	22058	Bierge	179	177	75	42	22	15	15	5	3	102
1989	22059	Biescas	200	200	25	86	31	36	15	1	6	175
1989	22060	Binaced	236	235	4	65	54	57	46	2	7	231
1989	22061	Binéfar	179	176	3	91	38	27	14	1	2	173
1989	22062	Bisaurri	71	71	4	5	6	15	32	2	7	67
1989	22063	Biscarrués	70	70	1	13	13	16	13	12	2	69
1989	22064	Blecua y Torres	59	59	3	22	5	0	9	17	3	56
1989	22066	Boltaña	88	88	33	15	11	9	9	7	4	55
1989	22067	Bonansa	20	20	3	0	1	2	6	5	3	17
1989	22068	Borau	30	30	10	11	6	1	1	0	1	20
1989	22069	Broto	149	149	3	24	35	45	34	1	7	146
1989	22072	Caldearenas	63	63	11	1	0	11	31	5	4	52
1989	22074	Campo	40	36	2	23	1	4	5	0	1	34
1989	22075	Camporrells	126	123	17	51	30	16	7	1	1	106
1989	22076	Canal de Berdún	118	117	4	11	8	31	41	18	4	113
1989	22077	Candasnos	93	90	1	3	2	9	21	22	32	89
1989	22078	Canfranc	5	5	0	0	0	0	2	0	3	5
1989	22079	Capdesaso	46	46	3	3	6	12	17	4	1	43
1989	22080	Capella	155	154	32	41	29	29	18	3	2	122
1989	22081	Casbas de Huesca	149	149	23	30	12	24	33	19	8	126
1989	22082	Castejón del Puente	81	81	3	19	9	18	25	3	4	78
1989	22083	Castejón de Monegros	171	166	4	33	29	24	38	24	14	162
1989	22084	Castejón de Sos	68	68	4	22	19	13	8	1	1	64
1989	22085	Castelflorite	54	54	1	5	2	7	26	11	2	53
1989	22086	Castiello de Jaca	23	23	0	2	4	9	6	1	1	23
1989	22087	Castigaleu	24	24	3	1	0	0	9	5	6	21
1989	22088	Castillazuelo	90	90	11	33	19	13	8	4	2	79
1989	22089	Castillonroy	99	99	2	22	18	23	29	4	1	97
1989	22090	Colungo	67	67	6	17	11	21	11	1	0	61
1989	22094	Chalamera	39	39	1	14	11	4	8	0	1	38
1989	22095	Chía	27	27	1	0	6	13	6	0	1	26
1989	22096	Chimillas	20	20	1	4	0	3	4	5	3	19
1989	22099	Esplús	167	166	7	97	18	11	16	7	10	159
1989	22102	Estada	66	66	7	28	19	9	2	1	0	59
1989	22103	Estadilla	174	169	5	64	35	36	25	3	1	164
1989	22105	Estopiñán del Castillo	105	105	10	20	17	25	26	5	2	95
1989	22106	Fago	8	8	0	8	0	0	0	0	0	8
1989	22107	Fanlo	26	26	6	2	1	5	4	4	4	20
1989	22109	Fiscal	89	89	24	18	16	14	8	2	7	65
1989	22110	Fonz	224	224	5	64	59	48	38	5	5	219
1989	22111	Foradada del Toscar	67	66	8	12	7	17	13	6	3	58
1989	22112	Fraga	1166	1163	40	581	180	128	129	69	36	1123
1989	22113	Fueva (La)	257	252	54	40	37	59	51	8	3	198
1989	22114	Gistaín	67	65	2	32	15	14	1	0	1	63
1989	22115	Grado (El)	226	226	69	72	24	24	31	3	3	157
1989	22116	Grañén	264	261	3	31	36	79	64	31	17	258
1989	22117	Graus	486	485	121	133	59	75	80	14	3	364
1989	22119	Gurrea de Gállego	300	297	10	37	39	77	52	50	32	287
1989	22122	Hoz de Jaca	19	18	0	8	6	2	1	0	1	18
1989	22124	Huerto	92	91	4	20	3	10	16	21	17	87
1989	22125	Huesca	229	227	5	46	30	38	54	33	21	222
1989	22126	Ibieca	33	33	0	14	2	9	2	4	2	33
1989	22127	Igriés	32	30	4	7	2	2	4	8	3	26
1989	22128	Ilche	84	84	1	5	5	7	38	19	9	83
1989	22129	Isábena	66	66	3	5	9	11	14	7	17	63
1989	22130	Jaca	327	325	17	43	45	60	113	38	9	308
1989	22131	Jasa	14	14	3	7	4	0	0	0	0	11
1989	22133	Labuerda	48	48	12	26	2	5	3	0	0	36
1989	22135	Laluenga	79	79	0	11	10	12	27	13	6	79
1989	22136	Lalueza	312	311	3	62	38	126	62	10	10	308
1989	22137	Lanaja	295	291	4	79	26	83	48	24	27	287
1989	22139	Laperdiguera	25	25	0	3	4	4	10	4	0	25
1989	22141	Lascellas-Ponzano	51	51	0	8	6	12	13	11	1	51
1989	22142	Lascuarre	44	44	5	12	3	7	15	1	1	39
1989	22143	Laspaúles	74	74	1	6	7	12	28	11	9	73
1989	22144	Laspuña	64	64	0	37	10	11	5	0	1	64
1989	22149	Loarre	133	128	7	43	16	18	33	8	3	121
1989	22150	Loporzano	186	184	18	47	14	27	36	23	19	166
1989	22151	Loscorrales	48	48	0	11	4	5	12	7	9	48
1989	22155	Monesma y Cajigar	32	32	2	0	0	1	5	12	12	30
1989	22156	Monflorite-Lascasas	45	45	3	6	4	9	10	5	8	42
1989	22157	Montanuy	102	102	6	9	7	25	32	12	11	96
1989	22158	Monzón	829	828	26	462	103	97	94	30	16	802
1989	22160	Naval	94	94	37	24	13	7	11	2	0	57
1989	22162	Novales	38	38	1	8	3	11	6	2	7	37
1989	22163	Nueno	86	86	22	30	8	9	6	7	4	64
1989	22164	Olvena	30	30	6	9	7	5	2	1	0	24
1989	22165	Ontiñena	135	131	0	31	2	15	28	33	22	131
1989	22167	Osso de Cinca	145	145	6	36	43	42	16	2	0	139
1989	22168	Palo	35	35	11	8	7	5	4	0	0	24
1989	22170	Panticosa	65	63	6	33	19	3	0	0	2	57
1989	22172	Peñalba	116	115	2	2	11	16	27	23	34	113
1989	22173	Peñas de Riglos (Las)	99	99	26	20	11	19	15	6	2	73
1989	22174	Peralta de Alcofea	117	117	0	9	6	8	39	32	23	117
1989	22175	Peralta de Calasanz	227	227	25	55	38	39	37	28	5	202
1989	22176	Peraltilla	46	46	3	7	6	16	10	4	0	43
1989	22177	Perarrúa	64	64	23	22	7	9	2	1	0	41
1989	22178	Pertusa	27	27	1	2	1	4	6	9	4	26
1989	22181	Piracés	23	23	2	0	1	1	9	8	2	21
1989	22182	Plan	77	77	7	42	13	13	1	0	1	70
1989	22184	Poleñino	56	56	2	3	3	15	23	7	3	54
1989	22186	Pozán de Vero	93	92	2	28	29	18	13	2	0	90
1989	22187	Puebla de Castro (La)	96	96	33	30	9	14	9	1	0	63
1989	22188	Puente de Montañana	26	26	6	3	1	4	6	1	5	20
1989	22189	Puértolas	67	67	12	22	10	10	10	2	1	55
1989	22190	Pueyo de Araguás (El)	57	57	12	1	4	16	22	1	1	45
1989	22193	Pueyo de Santa Cruz	77	77	3	41	10	13	7	3	0	74
1989	22195	Quicena	12	12	0	3	1	2	3	2	1	12
1989	22197	Robres	117	116	1	10	11	32	36	22	4	115
