Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones con tierras	Explotaciones con tierras sin SAU	Explotaciones con tierras con SAU <5 hectáreas	Explotaciones con tierras con SAU >= 5 y < 10 hectáreas	Explotaciones con tierras con SAU >= 10 y < 20 hectáreas	Explotaciones con tierras con SAU >= 20 y < 50 hectáreas	Explotaciones con tierras con SAU >= 50 y < 100 hectáreas	Explotaciones con tierras con SAU >= 100 hectáreas	Explotaciones con tierras con SAU
1989	22199	Sabiñánigo	298	298	67	35	29	52	64	29	22	231
1989	22200	Sahún	59	59	14	8	18	14	4	1	0	45
1989	22201	Salas Altas	128	128	5	23	36	42	20	2	0	123
1989	22202	Salas Bajas	76	76	8	22	21	18	7	0	0	68
1989	22203	Salillas	34	34	2	5	1	7	7	9	3	32
1989	22204	Sallent de Gállego	88	86	4	24	34	20	0	0	4	82
1989	22205	San Esteban de Litera	269	266	20	88	47	45	42	21	3	246
1989	22206	Sangarrén	77	77	3	24	4	9	17	13	7	74
1989	22207	San Juan de Plan	35	35	3	3	11	13	5	0	0	32
1989	22208	Santa Cilia	47	47	7	3	6	11	14	6	0	40
1989	22209	Santa Cruz de la Serós	35	35	4	4	5	13	7	1	1	31
1989	22212	Santaliestra y San Quílez	30	30	9	13	4	2	1	0	1	21
1989	22213	Sariñena	488	482	14	89	58	137	94	56	34	468
1989	22214	Secastilla	63	63	17	22	10	7	5	0	2	46
1989	22215	Seira	39	39	21	0	2	10	5	1	0	18
1989	22217	Sena	146	145	2	33	9	23	48	18	12	143
1989	22218	Senés de Alcubierre	22	22	1	1	2	3	9	2	4	21
1989	22220	Sesa	59	59	5	15	2	5	15	14	3	54
1989	22221	Sesué	19	19	2	1	6	6	4	0	0	17
1989	22222	Siétamo	91	91	5	20	12	12	18	15	9	86
1989	22223	Sopeira	33	33	3	7	11	3	5	2	2	30
1989	22225	Tamarite de Litera	577	576	12	252	127	102	58	15	10	564
1989	22226	Tardienta	216	212	2	109	24	28	23	16	10	210
1989	22227	Tella-Sin	56	56	6	25	10	4	6	0	5	50
1989	22228	Tierz	20	18	0	7	2	2	6	0	1	18
1989	22229	Tolva	77	77	7	12	9	15	15	10	9	70
1989	22230	Torla-Ordesa	55	55	1	4	15	24	7	0	4	54
1989	22232	Torralba de Aragón	46	46	2	6	4	10	8	8	8	44
1989	22233	Torre la Ribera	29	29	2	2	1	7	7	6	4	27
1989	22234	Torrente de Cinca	112	112	4	56	13	12	15	8	4	108
1989	22235	Torres de Alcanadre	29	29	1	3	2	1	14	6	2	28
1989	22236	Torres de Barbués	53	53	0	5	16	14	11	7	0	53
1989	22239	Tramaced	37	37	1	1	3	6	20	3	3	36
1989	22242	Valfarta	33	33	2	2	5	4	7	8	5	31
1989	22243	Valle de Bardají	20	20	5	0	5	5	5	0	0	15
1989	22244	Valle de Lierp	18	18	4	0	0	2	7	2	3	14
1989	22245	Velilla de Cinca	74	74	1	57	9	4	0	1	2	73
1989	22246	Beranuy	35	35	3	1	2	5	10	8	6	32
1989	22247	Viacamp y Litera	30	30	11	1	1	3	6	2	6	19
1989	22248	Vicién	10	10	0	2	1	1	1	2	3	10
1989	22249	Villanova	9	8	1	0	2	2	2	1	0	7
1989	22250	Villanúa	26	26	1	11	5	3	2	2	2	25
1989	22251	Villanueva de Sigena	108	107	4	4	3	13	43	20	20	103
1989	22252	Yebra de Basa	32	32	7	5	3	3	9	3	2	25
1989	22253	Yésero	22	22	3	12	2	3	0	0	2	19
1989	22254	Zaidín	356	356	6	117	76	86	51	14	6	350
1989	22901	Valle de Hecho	191	191	27	84	52	24	3	0	1	164
1989	22902	Puente la Reina de Jaca	72	71	3	11	7	16	24	8	2	68
1989	22903	San Miguel del Cinca	275	275	9	62	18	29	117	32	8	266
1989	22904	Sotonera (La)	410	410	24	175	72	56	49	19	15	386
1989	22905	Lupiñén-Ortilla	109	109	5	38	9	12	11	16	18	104
1989	22906	Santa María de Dulcis	82	81	2	27	14	23	14	0	1	79
1989	22907	Aínsa-Sobrarbe	183	183	17	28	22	42	43	12	19	166
1989	22908	Hoz y Costeán	168	167	58	27	24	24	22	9	3	109
1989	22909	Vencillón	83	83	1	0	55	24	3	0	0	82
1989	44001	Ababuj	32	32	2	5	2	2	3	8	10	30
1989	44002	Abejuela	22	22	5	10	1	3	0	2	1	17
1989	44003	Aguatón	12	12	0	0	1	0	6	1	4	12
1989	44004	Aguaviva	153	151	10	98	16	14	11	2	0	141
1989	44005	Aguilar del Alfambra	34	33	0	2	2	7	9	8	5	33
1989	44006	Alacón	117	113	4	45	15	14	28	7	0	109
1989	44007	Alba	72	72	2	4	14	8	28	12	4	70
1989	44008	Albalate del Arzobispo	366	356	5	235	24	14	20	21	37	351
1989	44009	Albarracín	101	99	18	35	3	7	13	6	17	81
1989	44010	Albentosa	165	165	4	48	54	33	12	9	5	161
1989	44011	Alcaine	32	30	15	11	0	0	2	1	1	15
1989	44012	Alcalá de la Selva	208	207	11	87	35	17	24	22	11	196
1989	44013	Alcañiz	892	880	11	400	134	91	116	68	60	869
1989	44014	Alcorisa	494	486	10	266	98	61	31	13	7	476
1989	44016	Alfambra	164	162	4	23	19	25	37	38	16	158
1989	44017	Aliaga	167	166	24	58	11	14	17	17	25	142
1989	44018	Almohaja	7	7	1	0	0	0	3	1	2	6
1989	44019	Alobras	38	37	4	14	8	4	2	3	2	33
1989	44020	Alpeñés	23	23	2	0	1	4	7	6	3	21
1989	44021	Allepuz	100	100	5	14	13	18	21	13	16	95
1989	44022	Alloza	172	170	3	85	31	17	21	8	5	167
1989	44023	Allueva	6	6	2	1	1	0	1	0	1	4
1989	44024	Anadón	8	8	2	1	0	0	0	3	2	6
1989	44025	Andorra	314	304	3	157	23	29	44	33	15	301
1989	44026	Arcos de las Salinas	52	50	4	34	5	3	3	0	1	46
1989	44027	Arens de Lledó	91	90	12	22	12	30	12	2	0	78
1989	44028	Argente	72	71	1	1	3	8	27	23	8	70
1989	44029	Ariño	189	189	34	148	2	1	3	0	1	155
1989	44031	Azaila	51	50	0	1	0	1	6	11	31	50
1989	44032	Bádenas	13	12	3	0	0	1	3	0	5	9
1989	44033	Báguena	211	211	2	127	35	24	20	2	1	209
1989	44034	Bañón	46	45	5	2	1	4	10	18	5	40
1989	44035	Barrachina	49	49	2	11	9	9	12	4	2	47
1989	44036	Bea	17	16	2	0	3	3	5	1	2	14
1989	44037	Beceite	222	221	64	114	27	10	6	0	0	157
1989	44038	Belmonte de San José	114	114	31	45	22	15	1	0	0	83
1989	44039	Bello	96	96	1	2	14	17	31	22	9	95
1989	44040	Berge	85	85	1	55	9	8	8	3	1	84
1989	44041	Bezas	16	16	7	5	1	1	0	0	2	9
1989	44042	Blancas	51	51	1	1	1	2	14	24	8	50
1989	44043	Blesa	55	54	6	14	4	2	3	12	13	48
1989	44044	Bordón	47	47	2	10	7	6	10	5	7	45
1989	44045	Bronchales	75	75	27	9	8	10	12	7	2	48
1989	44046	Bueña	44	44	0	1	1	5	31	3	3	44
1989	44047	Burbáguena	250	249	12	151	41	24	10	10	1	237
1989	44048	Cabra de Mora	58	57	25	12	6	6	1	4	3	32
1989	44049	Calaceite	360	356	8	129	65	84	65	4	1	348
1989	44050	Calamocha	864	859	32	344	147	106	143	56	31	827
1989	44051	Calanda	402	396	2	190	55	57	60	24	8	394
1989	44052	Calomarde	25	25	4	3	6	8	4	0	0	21
1989	44053	Camañas	46	46	1	0	1	3	15	15	11	45
1989	44054	Camarena de la Sierra	210	210	161	45	3	0	0	0	1	49
1989	44055	Camarillas	70	69	1	20	18	5	2	12	11	68
1989	44056	Caminreal	150	149	2	34	21	34	40	17	1	147
1989	44059	Cantavieja	104	104	6	25	16	9	10	12	26	98
1989	44060	Cañada de Benatanduz	30	30	3	3	3	7	5	1	8	27
1989	44061	Cañada de Verich (La)	66	66	23	31	3	8	1	0	0	43
1989	44062	Cañada Vellida	26	26	1	0	3	2	13	4	3	25
1989	44063	Cañizar del Olivar	61	61	14	41	0	3	1	0	2	47
1989	44064	Cascante del Río	215	214	156	42	7	3	4	0	2	58
1989	44065	Castejón de Tornos	32	32	4	1	2	5	9	7	4	28
1989	44066	Castel de Cabra	50	50	5	30	6	2	5	0	2	45
1989	44067	Castelnou	31	31	1	7	2	1	4	11	5	30
1989	44068	Castelserás	149	149	1	90	30	13	8	3	4	148
1989	44070	Castellar (El)	42	42	2	7	8	5	7	6	7	40
1989	44071	Castellote	415	415	46	206	54	45	32	20	12	369
1989	44074	Cedrillas	152	148	2	38	33	30	26	10	9	146
1989	44075	Celadas	123	123	1	2	1	6	55	49	9	122
1989	44076	Cella	512	508	4	163	98	114	107	17	5	504
1989	44077	Cerollera (La)	56	56	17	33	3	0	3	0	0	39
1989	44080	Codoñera (La)	71	71	1	18	10	20	22	0	0	70
1989	44082	Corbalán	34	34	3	1	8	5	7	5	5	31
1989	44084	Cortes de Aragón	22	22	2	5	1	1	6	4	3	20
1989	44085	Cosa	33	33	3	0	0	0	10	9	11	30
1989	44086	Cretas	266	266	15	101	58	55	31	5	1	251
1989	44087	Crivillén	103	103	24	30	25	16	1	3	4	79
1989	44088	Cuba (La)	25	25	5	13	2	4	1	0	0	20
1989	44089	Cubla	129	128	88	16	7	5	6	4	2	40
1989	44090	Cucalón	15	15	1	0	0	2	1	3	8	14
1989	44092	Cuervo (El)	56	56	12	33	6	3	1	0	1	44
1989	44093	Cuevas de Almudén	31	31	1	8	1	6	7	6	2	30
1989	44094	Cuevas Labradas	50	50	2	7	6	16	15	3	1	48
1989	44096	Ejulve	318	318	158	91	25	16	20	4	4	160
1989	44097	Escorihuela	74	73	2	10	4	15	32	5	5	71
1989	44099	Escucha	89	84	12	42	4	9	13	3	1	72
1989	44100	Estercuel	130	130	4	96	23	3	0	2	2	126
1989	44101	Ferreruela de Huerva	30	29	2	2	0	1	8	11	5	27
1989	44102	Fonfría	14	13	2	0	0	0	4	5	2	11
1989	44103	Formiche Alto	54	54	6	23	1	7	9	3	5	48
1989	44105	Fórnoles	221	221	91	95	16	16	3	0	0	130
1989	44106	Fortanete	102	100	10	11	11	21	13	13	21	90
1989	44107	Foz-Calanda	65	65	3	16	19	15	11	1	0	62
1989	44108	Fresneda (La)	310	310	95	131	41	31	11	1	0	215
1989	44109	Frías de Albarracín	37	37	8	7	6	4	6	3	3	29
1989	44110	Fuenferrada	30	30	2	2	0	8	7	8	3	28
1989	44111	Fuentes Calientes	44	44	1	3	1	9	15	12	3	43
1989	44112	Fuentes Claras	158	158	2	38	33	32	36	14	3	156
1989	44113	Fuentes de Rubielos	93	92	11	50	17	7	3	4	0	81
1989	44114	Fuentespalda	154	152	45	44	23	25	14	1	0	107
1989	44115	Galve	42	42	3	5	3	5	14	11	1	39
1989	44116	Gargallo	99	99	7	62	17	8	1	3	1	92
1989	44117	Gea de Albarracín	128	128	33	55	10	6	19	1	4	95
1989	44118	Ginebrosa (La)	164	163	36	59	21	27	10	10	0	127
1989	44119	Griegos	35	35	6	11	9	2	6	0	1	29
1989	44120	Guadalaviar	53	51	8	8	7	16	12	0	0	43
1989	44121	Gúdar	71	69	15	18	8	10	4	7	7	54
1989	44122	Híjar	373	357	13	223	14	11	29	28	39	344
1989	44123	Hinojosa de Jarque	52	52	0	7	8	9	17	9	2	52
1989	44124	Hoz de la Vieja (La)	90	89	44	13	3	7	14	5	3	45
1989	44125	Huesa del Común	54	54	12	18	0	3	10	6	5	42
1989	44126	Iglesuela del Cid (La)	131	131	16	29	22	30	24	5	5	115
1989	44127	Jabaloyas	35	33	4	5	5	13	4	1	1	29
1989	44128	Jarque de la Val	27	27	2	5	1	3	4	5	7	25
1989	44129	Jatiel	10	10	0	1	2	2	2	2	1	10
1989	44130	Jorcas	22	22	1	4	1	2	2	4	8	21
1989	44131	Josa	60	60	26	30	1	1	1	0	1	34
1989	44132	Lagueruela	27	26	1	0	0	3	8	7	7	25
1989	44133	Lanzuela	19	19	2	0	0	2	5	9	1	17
1989	44135	Libros	134	133	35	73	14	6	5	0	0	98
1989	44136	Lidón	25	24	0	1	0	2	8	8	5	24
1989	44137	Linares de Mora	125	125	36	39	8	4	10	11	17	89
1989	44138	Loscos	58	57	2	5	4	6	7	20	13	55
1989	44141	Lledó	61	61	1	17	12	16	14	1	0	60
1989	44142	Maicas	34	34	29	3	1	0	1	0	0	5
1989	44143	Manzanera	209	208	28	81	40	29	21	6	3	180
1989	44144	Martín del Río	115	115	12	52	13	18	13	4	3	103
1989	44145	Mas de las Matas	144	143	8	88	15	11	14	3	4	135
1989	44146	Mata de los Olmos (La)	58	57	6	21	12	7	7	1	3	51
1989	44147	Mazaleón	222	221	12	48	34	70	56	1	0	209
1989	44148	Mezquita de Jarque	30	29	1	3	0	0	8	14	3	28
1989	44149	Mirambel	42	41	4	8	6	2	3	7	11	37
1989	44150	Miravete de la Sierra	45	45	3	8	6	7	6	4	11	42
1989	44151	Molinos	109	108	3	64	17	10	8	3	3	105
1989	44152	Monforte de Moyuela	39	39	3	0	1	3	10	8	14	36
1989	44153	Monreal del Campo	281	280	12	42	58	52	91	20	5	268
1989	44154	Monroyo	133	133	21	52	18	22	19	1	0	112
1989	44155	Montalbán	146	144	26	97	4	5	5	2	5	118
1989	44156	Monteagudo del Castillo	38	38	2	6	4	6	9	5	6	36
1989	44157	Monterde de Albarracín	19	19	0	0	4	3	7	4	1	19
1989	44158	Mora de Rubielos	322	319	105	138	21	16	19	10	10	214
1989	44159	Moscardón	17	15	1	4	2	2	4	1	1	14
1989	44160	Mosqueruela	230	229	29	41	32	38	30	17	42	200
1989	44161	Muniesa	152	148	3	26	13	19	42	34	11	145
1989	44163	Noguera de Albarracín	48	47	21	15	6	1	1	0	3	26
1989	44164	Nogueras	16	16	5	1	0	2	4	0	4	11
1989	44165	Nogueruelas	124	123	6	96	5	4	9	3	0	117
1989	44167	Obón	89	89	57	27	2	0	1	1	1	32
1989	44168	Odón	82	81	2	3	8	7	21	24	16	79
1989	44169	Ojos Negros	92	90	7	9	4	12	25	25	8	83
1989	44171	Olba	310	310	89	209	9	2	1	0	0	221
1989	44172	Oliete	265	264	53	172	14	4	9	7	5	211
1989	44173	Olmos (Los)	77	77	6	12	21	18	13	6	1	71
1989	44174	Orihuela del Tremedal	44	41	5	11	3	6	7	5	4	36
1989	44175	Orrios	65	65	0	6	8	17	23	6	5	65
1989	44176	Palomar de Arroyos	55	55	7	27	7	1	8	4	1	48
1989	44177	Pancrudo	84	84	2	1	4	16	28	24	9	82
1989	44178	Parras de Castellote (Las)	41	41	6	20	7	1	5	2	0	35
1989	44179	Peñarroya de Tastavins	189	186	44	66	29	34	11	1	1	142
1989	44180	Peracense	19	19	1	1	2	5	3	6	1	18
1989	44181	Peralejos	30	30	0	3	5	8	5	5	4	30
1989	44182	Perales del Alfambra	106	106	29	14	10	6	14	20	13	77
1989	44183	Pitarque	101	101	24	21	10	13	22	5	6	77
1989	44184	Plou	20	20	0	5	5	3	2	3	2	20
1989	44185	Pobo (El)	60	57	0	9	8	10	9	11	10	57
1989	44187	Portellada (La)	70	70	4	12	19	26	9	0	0	66
1989	44189	Pozondón	36	36	4	2	1	5	17	5	2	32
1989	44190	Pozuel del Campo	26	26	4	0	0	1	6	10	5	22
1989	44191	Puebla de Híjar (La)	136	132	2	55	20	19	20	6	10	130
1989	44192	Puebla de Valverde (La)	294	291	6	134	47	25	27	19	33	285
1989	44193	Puertomingalvo	101	101	15	22	10	7	17	13	17	86
1989	44194	Ráfales	72	72	2	30	14	23	3	0	0	70
1989	44195	Rillo	33	33	2	1	1	3	7	6	13	31
1989	44196	Riodeva	282	282	2	236	31	10	2	0	1	280
1989	44197	Ródenas	41	41	1	1	2	10	13	8	6	40
1989	44198	Royuela	46	43	5	8	6	14	7	2	1	38
1989	44199	Rubiales	51	50	39	5	1	1	1	2	1	11
1989	44200	Rubielos de la Cérida	21	21	2	1	0	2	5	5	6	19
1989	44201	Rubielos de Mora	287	287	87	154	13	6	13	6	8	200
1989	44203	Salcedillo	6	5	3	0	0	0	0	0	2	2
1989	44204	Saldón	23	23	2	9	4	3	0	4	1	21
1989	44205	Samper de Calanda	214	204	4	93	14	12	31	21	29	200
1989	44206	San Agustín	190	190	5	74	72	25	6	6	2	185
1989	44207	San Martín del Río	184	183	0	88	48	28	17	0	2	183
1989	44208	Santa Cruz de Nogueras	13	13	1	2	1	2	1	2	4	12
1989	44209	Santa Eulalia	131	130	5	27	14	25	38	20	1	125
1989	44210	Sarrión	277	275	2	153	33	41	19	19	8	273
1989	44211	Segura de los Baños	24	24	6	0	3	1	4	3	7	18
1989	44212	Seno	50	50	3	26	7	5	4	3	2	47
1989	44213	Singra	31	31	3	1	2	2	2	11	10	28
1989	44215	Terriente	59	59	5	17	11	12	7	4	3	54
1989	44216	Teruel	505	499	30	119	60	85	98	69	38	469
1989	44217	Toril y Masegoso	12	12	0	0	5	2	1	2	2	12
1989	44218	Tormón	16	16	3	11	1	0	0	0	1	13
1989	44219	Tornos	77	77	1	3	11	12	26	17	7	76
1989	44220	Torralba de los Sisones	63	63	2	1	2	13	29	14	2	61
1989	44221	Torrecilla de Alcañiz	91	91	0	27	19	16	21	5	3	91
1989	44222	Torrecilla del Rebollar	43	43	7	1	0	2	9	15	9	36
1989	44223	Torre de Arcas	36	36	9	7	5	7	7	1	0	27
1989	44224	Torre de las Arcas	25	25	2	13	3	1	2	3	1	23
1989	44225	Torre del Compte	118	118	40	38	15	13	10	2	0	78
1989	44226	Torrelacárcel	73	73	1	15	4	14	18	17	4	72
1989	44227	Torre los Negros	41	41	1	11	0	5	7	12	5	40
1989	44228	Torremocha de Jiloca	47	47	1	3	5	4	20	14	0	46
