Provincia codigo	Provincia nombre	Unidades trabajo-año totales	Unidades trabajo-año asalariados	Unidades trabajo-año asalariados fijos	Unidades trabajo-año asalariados eventuales	Unidades trabajo-año mano obra familiar	Unidades trabajo-año titular	Unidades trabajo-año jefe explotación	Unidades trabajo-año otros miembros familia
22	Huesca	14405,09	5101,161	3582,883	1518,278	9303,929	6152,068	7759,301	3151,861
44	Teruel	8593,96	1708,547	1426,556	281,991	6885,413	4366,533	5004,749	2518,88
50	Zaragoza	19954,626	7250,597	4296,539	2954,058	12704,029	8019,395	9896,502	4684,634
