Aragón	Municipio 2ª residencia, código	Municipio 2ª residencia, nombre	Número hogares
Aragón	50297	Zaragoza	13463
Aragón	43905	Salou	3373
Aragón	22130	Jaca	2989
Aragón	22125	Huesca	2181
Aragón	43038	Cambrils	1960
Aragón	43171	Vila-seca	1515
Aragón	44216	Teruel	1506
Aragón	12089	Peñíscola	1503
Aragón	22059	Biescas	1168
Aragón	08019	Barcelona	881
