Municipio código	Municipio nombre	Viviendas en el edificio	Número de edificios
22053	Benabarre	01	500
22053	Benabarre	02	43
22053	Benabarre	03	6
22053	Benabarre	04	11
22053	Benabarre	05 a 09	5
22054	Benasque	00	23
22054	Benasque	01	296
22054	Benasque	02	41
22054	Benasque	03	14
22054	Benasque	04	20
22054	Benasque	05 a 09	39
22054	Benasque	10 a 19	32
22054	Benasque	20 a 39	21
22054	Benasque	40 o más	12
22055	Berbegal	00	14
22055	Berbegal	01	265
22055	Berbegal	02	6
22055	Berbegal	04	2
22057	Bielsa	00	41
22057	Bielsa	01	228
22057	Bielsa	02	16
22057	Bielsa	03	15
22057	Bielsa	04	4
22057	Bielsa	05 a 09	4
22057	Bielsa	10 a 19	1
22058	Bierge	00	11
22058	Bierge	01	181
22058	Bierge	02	10
22058	Bierge	03	1
22058	Bierge	04	1
22058	Bierge	05 a 09	1
22059	Biescas	00	98
22059	Biescas	01	591
22059	Biescas	02	82
22059	Biescas	03	25
22059	Biescas	04	25
22059	Biescas	05 a 09	66
22059	Biescas	10 a 19	43
22059	Biescas	20 a 39	19
22059	Biescas	40 o más	4
22060	Binaced	00	37
22060	Binaced	01	572
22060	Binaced	02	29
22060	Binaced	03	4
22060	Binaced	04	5
22060	Binaced	05 a 09	2
22061	Binéfar	00	129
22061	Binéfar	01	1328
22061	Binéfar	02	299
22061	Binéfar	03	65
22061	Binéfar	04	37
22061	Binéfar	05 a 09	82
22061	Binéfar	10 a 19	45
22061	Binéfar	20 a 39	4
22062	Bisaurri	00	12
22062	Bisaurri	01	126
22063	Biscarrués	00	4
22063	Biscarrués	01	135
22063	Biscarrués	02	4
22064	Blecua y Torres	00	7
22064	Blecua y Torres	01	135
22064	Blecua y Torres	02	1
22066	Boltaña	00	19
22066	Boltaña	01	244
22066	Boltaña	02	38
22066	Boltaña	03	14
22066	Boltaña	04	6
22066	Boltaña	05 a 09	25
22066	Boltaña	10 a 19	5
22066	Boltaña	20 a 39	1
22066	Boltaña	40 o más	1
22067	Bonansa	00	7
22067	Bonansa	01	51
22067	Bonansa	02	1
22067	Bonansa	10 a 19	1
22068	Borau	00	23
22068	Borau	01	79
22068	Borau	02	2
22068	Borau	03	2
22069	Broto	00	19
22069	Broto	01	263
22069	Broto	02	17
22069	Broto	03	4
22069	Broto	04	7
22069	Broto	05 a 09	19
22069	Broto	10 a 19	4
22069	Broto	20 a 39	2
22072	Caldearenas	00	28
22072	Caldearenas	01	185
22072	Caldearenas	02	2
22074	Campo	00	27
22074	Campo	01	199
22074	Campo	02	8
22074	Campo	03	1
22074	Campo	04	1
22074	Campo	05 a 09	5
22074	Campo	10 a 19	3
22075	Camporrells	00	6
22075	Camporrells	01	192
22075	Camporrells	02	5
22075	Camporrells	03	3
22075	Camporrells	05 a 09	1
22076	Canal de Berdún	00	11
22076	Canal de Berdún	01	277
22076	Canal de Berdún	02	10
22076	Canal de Berdún	03	1
22077	Candasnos	00	19
22077	Candasnos	01	263
22077	Candasnos	02	6
22077	Candasnos	03	1
22077	Candasnos	04	1
22077	Candasnos	05 a 09	1
22078	Canfranc	00	8
22078	Canfranc	01	98
22078	Canfranc	02	27
22078	Canfranc	03	5
22078	Canfranc	04	3
22078	Canfranc	05 a 09	13
22078	Canfranc	10 a 19	14
22078	Canfranc	20 a 39	5
22078	Canfranc	40 o más	9
22079	Capdesaso	00	8
22079	Capdesaso	01	98
22079	Capdesaso	02	4
22080	Capella	00	7
22080	Capella	01	203
22080	Capella	02	13
22080	Capella	03	4
22080	Capella	04	2
22081	Casbas de Huesca	00	14
22081	Casbas de Huesca	01	347
22081	Casbas de Huesca	02	5
22081	Casbas de Huesca	03	1
22082	Castejón del Puente	00	10
22082	Castejón del Puente	01	216
22082	Castejón del Puente	02	8
22083	Castejón de Monegros	00	18
22083	Castejón de Monegros	01	333
22083	Castejón de Monegros	02	9
22083	Castejón de Monegros	03	1
22084	Castejón de Sos	00	9
22084	Castejón de Sos	01	186
22084	Castejón de Sos	02	20
22084	Castejón de Sos	03	8
22084	Castejón de Sos	04	3
22084	Castejón de Sos	05 a 09	14
22084	Castejón de Sos	10 a 19	4
22084	Castejón de Sos	20 a 39	2
22085	Castelflorite	00	8
22085	Castelflorite	01	57
22085	Castelflorite	02	4
22086	Castiello de Jaca	00	6
22086	Castiello de Jaca	01	93
22086	Castiello de Jaca	02	12
22086	Castiello de Jaca	03	3
22086	Castiello de Jaca	04	6
22086	Castiello de Jaca	05 a 09	14
22086	Castiello de Jaca	20 a 39	5
22087	Castigaleu	00	6
22087	Castigaleu	01	46
22087	Castigaleu	02	1
22087	Castigaleu	03	1
22088	Castillazuelo	00	2
22088	Castillazuelo	01	126
22088	Castillazuelo	02	6
22088	Castillazuelo	03	3
22089	Castillonroy	00	18
22089	Castillonroy	01	245
22089	Castillonroy	02	11
22090	Colungo	00	2
22090	Colungo	01	86
22090	Colungo	02	9
22090	Colungo	03	1
22094	Chalamera	00	3
22094	Chalamera	01	86
22094	Chalamera	02	7
22095	Chía	00	3
22095	Chía	01	56
22095	Chía	02	1
22096	Chimillas	00	2
22096	Chimillas	01	71
22096	Chimillas	02	5
22096	Chimillas	03	1
22099	Esplús	00	13
22099	Esplús	01	238
22099	Esplús	02	14
22099	Esplús	03	6
22099	Esplús	04	1
22099	Esplús	05 a 09	3
22099	Esplús	40 o más	1
22102	Estada	00	3
22102	Estada	01	94
22102	Estada	02	6
22103	Estadilla	00	9
22103	Estadilla	01	330
22103	Estadilla	02	36
22103	Estadilla	03	3
22103	Estadilla	05 a 09	4
