Provincia código	Provincia nombre	Tipo estudios	Personas residentes viviendas familiares
22	Huesca	Derecho	1559
22	Huesca	Magisterio, Educación infantil...	4620
22	Huesca	Ciencias Sociales	6102
22	Huesca	Artes y Humanidades	2270
22	Huesca	Informática	535
22	Huesca	Ingenierías	2036
22	Huesca	Formación Técnica e Industrial	6019
22	Huesca	Ciencias	1237
22	Huesca	Arquitectura o Construcción	533
22	Huesca	Agricultura, Veterinaria,...	1689
22	Huesca	Salud, Servicios Sociales	4290
22	Huesca	Otros Servicios	2159
44	Teruel	Derecho	816
44	Teruel	Magisterio, Educación infantil...	2418
44	Teruel	Ciencias Sociales	2718
44	Teruel	Artes y Humanidades	1094
44	Teruel	Informática	282
44	Teruel	Ingenierías	857
44	Teruel	Formación Técnica e Industrial	3644
44	Teruel	Ciencias	543
44	Teruel	Arquitectura o Construcción	251
44	Teruel	Agricultura, Veterinaria,...	548
44	Teruel	Salud, Servicios Sociales	2587
44	Teruel	Otros Servicios	611
50	Zaragoza	Derecho	10946
50	Zaragoza	Magisterio, Educación infantil...	15315
50	Zaragoza	Ciencias Sociales	30551
50	Zaragoza	Artes y Humanidades	12626
50	Zaragoza	Informática	5727
50	Zaragoza	Ingenierías	11912
50	Zaragoza	Formación Técnica e Industrial	34770
50	Zaragoza	Ciencias	7253
50	Zaragoza	Arquitectura o Construcción	2362
50	Zaragoza	Agricultura, Veterinaria,...	3452
50	Zaragoza	Salud, Servicios Sociales	22331
50	Zaragoza	Otros Servicios	9637
