Año	Personas	VAB	VAB per cápita
2019	1319291	34505574,2	26154,6347242572
2018	1308728	33348413,2	25481,5463564622
2017	1308750	32304558,1	24683,5209933142
2016	1308563	31046090,4	23725,3310692722
2015	1317847	29852218,9	22652,2645648546
2014	1325385	29404475,5	22185,6105961664
2013	1347150	29318969,2	21763,7005530193
