Año	Código	Comarca 	VAB	Sector VAB código	Sector VAB descripción
2007	01	La Jacetania	9929,6	10	Agricultura
2007	01	La Jacetania	5849,1	21	Energía
2007	01	La Jacetania	10518,6	22	Industria
2007	01	La Jacetania	50575,5	30	Construcción
2007	01	La Jacetania	215719,6	40	Servicios
2007	02	Alto Gállego	2842,9	10	Agricultura
2007	02	Alto Gállego	20319	21	Energía
2007	02	Alto Gállego	44699,5	22	Industria
2007	02	Alto Gállego	52086,2	30	Construcción
2007	02	Alto Gállego	189757,3	40	Servicios
2007	03	Sobrarbe	7658,3	10	Agricultura
2007	03	Sobrarbe	12205,1	21	Energía
2007	03	Sobrarbe	2283,4	22	Industria
2007	03	Sobrarbe	24479,8	30	Construcción
2007	03	Sobrarbe	81313	40	Servicios
2007	04	La Ribagorza	27425,1	10	Agricultura
2007	04	La Ribagorza	23835,6	21	Energía
2007	04	La Ribagorza	16371	22	Industria
2007	04	La Ribagorza	40641,5	30	Construcción
2007	04	La Ribagorza	135760,6	40	Servicios
2007	05	Cinco Villas	114136,4	10	Agricultura
2007	05	Cinco Villas	17498,5	21	Energía
2007	05	Cinco Villas	154483,1	22	Industria
2007	05	Cinco Villas	124732,8	30	Construcción
2007	05	Cinco Villas	183322	40	Servicios
2007	06	Hoya de Huesca / Plana de Uesca	78798,6	10	Agricultura
2007	06	Hoya de Huesca / Plana de Uesca	23266,4	21	Energía
2007	06	Hoya de Huesca / Plana de Uesca	102677,5	22	Industria
2007	06	Hoya de Huesca / Plana de Uesca	225004,3	30	Construcción
2007	06	Hoya de Huesca / Plana de Uesca	1138397,9	40	Servicios
2007	07	Somontano de Barbastro	47404,7	10	Agricultura
2007	07	Somontano de Barbastro	14274,6	21	Energía
2007	07	Somontano de Barbastro	107247,7	22	Industria
2007	07	Somontano de Barbastro	62486,9	30	Construcción
2007	07	Somontano de Barbastro	229831,4	40	Servicios
2007	08	Cinca Medio	80567,1	10	Agricultura
2007	08	Cinca Medio	13726,8	21	Energía
2007	08	Cinca Medio	150073,9	22	Industria
2007	08	Cinca Medio	82061,4	30	Construcción
2007	08	Cinca Medio	174278	40	Servicios
2007	09	La Litera / La Llitera	119864,9	10	Agricultura
2007	09	La Litera / La Llitera	6959,7	21	Energía
2007	09	La Litera / La Llitera	90329,7	22	Industria
