Municipio código	Municipio nombre	Clase de propietario	Número de edificios
22001	Abiego	Una persona	185
22001	Abiego	La comunidad	1
22002	Abizanda	Una persona	88
22002	Abizanda	La comunidad	1
22003	Adahuesca	Una persona	115
22003	Adahuesca	La comunidad	1
22004	Agüero	Una persona	211
22004	Agüero	La comunidad	1
22004	Agüero	Una sociedad	1
22006	Aísa	Una persona	152
22006	Aísa	La comunidad	55
22006	Aísa	Un organismo público	1
22007	Albalate de Cinca	Una persona	410
22008	Albalatillo	Una persona	124
22008	Albalatillo	La comunidad	2
22009	Albelda	Una persona	433
22009	Albelda	Una sociedad	2
22011	Albero Alto	Una persona	50
22012	Albero Bajo	Una persona	44
22013	Alberuela de Tubo	Una persona	136
22014	Alcalá de Gurrea	Una persona	214
22014	Alcalá de Gurrea	La comunidad	2
22015	Alcalá del Obispo	Una persona	265
22015	Alcalá del Obispo	La comunidad	1
22016	Alcampell	Una persona	501
22016	Alcampell	La comunidad	1
22017	Alcolea de Cinca	Una persona	389
22017	Alcolea de Cinca	La comunidad	19
22018	Alcubierre	Una persona	265
22019	Alerre	Una persona	64
22020	Alfántega	Una persona	71
22020	Alfántega	La comunidad	1
22021	Almudévar	Una persona	993
22021	Almudévar	La comunidad	13
22021	Almudévar	Una sociedad	1
22022	Almunia de San Juan	Una persona	345
22022	Almunia de San Juan	La comunidad	4
22023	Almuniente	Una persona	256
22023	Almuniente	La comunidad	1
22024	Alquézar	Una persona	202
22025	Altorricón	Una persona	534
22025	Altorricón	La comunidad	17
22025	Altorricón	Una sociedad	4
22027	Angüés	Una persona	318
22027	Angüés	La comunidad	1
22028	Ansó	Una persona	317
22028	Ansó	La comunidad	20
22028	Ansó	Un organismo público	1
22029	Antillón	Una persona	68
22032	Aragüés del Puerto	Una persona	131
22032	Aragüés del Puerto	La comunidad	2
22035	Arén	Una persona	229
22036	Argavieso	Una persona	66
22037	Arguis	Una persona	59
22037	Arguis	Una sociedad	1
22039	Ayerbe	Una persona	474
22039	Ayerbe	La comunidad	57
22039	Ayerbe	Una sociedad	2
22040	Azanuy-Alins	Una persona	200
22041	Azara	Una persona	94
22041	Azara	La comunidad	1
22042	Azlor	Una persona	103
22043	Baells	Una persona	97
22044	Bailo	Una persona	158
22044	Bailo	La comunidad	1
22045	Baldellou	Una persona	142
22045	Baldellou	La comunidad	1
22046	Ballobar	Una persona	467
22046	Ballobar	La comunidad	2
22047	Banastás	Una persona	68
22048	Barbastro	Una persona	1567
22048	Barbastro	La comunidad	466
22048	Barbastro	Una sociedad	1
22048	Barbastro	Un organismo público	6
22049	Barbués	Una persona	59
22050	Barbuñales	Una persona	87
22051	Bárcabo	Una persona	65
22051	Bárcabo	La comunidad	1
22052	Belver de Cinca	Una persona	537
22052	Belver de Cinca	La comunidad	1
22053	Benabarre	Una persona	564
22053	Benabarre	La comunidad	1
22054	Benasque	Una persona	371
22054	Benasque	La comunidad	98
22054	Benasque	Una sociedad	4
22055	Berbegal	Una persona	269
22055	Berbegal	La comunidad	3
22057	Bielsa	Una persona	242
22057	Bielsa	La comunidad	26
22058	Bierge	Una persona	193
22059	Biescas	Una persona	709
22059	Biescas	La comunidad	131
22059	Biescas	Una sociedad	5
22060	Binaced	Una persona	593
22060	Binaced	La comunidad	12
22060	Binaced	Una sociedad	2
22061	Binéfar	Una persona	1753
22061	Binéfar	La comunidad	81
22061	Binéfar	Una sociedad	1
22062	Bisaurri	Una persona	125
22062	Bisaurri	La comunidad	1
22063	Biscarrués	Una persona	140
22064	Blecua y Torres	Una persona	135
22066	Boltaña	Una persona	323
22066	Boltaña	La comunidad	10
22067	Bonansa	Una persona	52
22067	Bonansa	La comunidad	1
22068	Borau	Una persona	83
22069	Broto	Una persona	304
22069	Broto	La comunidad	5
22072	Caldearenas	Una persona	187
22072	Caldearenas	Un organismo público	1
22074	Campo	Una persona	214
22074	Campo	La comunidad	3
22075	Camporrells	Una persona	200
22075	Camporrells	La comunidad	1
22076	Canal de Berdún	Una persona	278
22076	Canal de Berdún	Una sociedad	2
22077	Candasnos	Una persona	270
22077	Candasnos	La comunidad	1
22078	Canfranc	Una persona	114
22078	Canfranc	La comunidad	58
22078	Canfranc	Una sociedad	1
22079	Capdesaso	Una persona	101
22080	Capella	Una persona	222
22081	Casbas de Huesca	Una persona	350
22081	Casbas de Huesca	La comunidad	3
22081	Casbas de Huesca	Un organismo público	1
22082	Castejón del Puente	Una persona	223
22083	Castejón de Monegros	Una persona	342
22083	Castejón de Monegros	La comunidad	1
22084	Castejón de Sos	Una persona	217
22084	Castejón de Sos	La comunidad	19
22084	Castejón de Sos	Un organismo público	1
22085	Castelflorite	Una persona	61
22086	Castiello de Jaca	Una persona	109
22086	Castiello de Jaca	La comunidad	23
22087	Castigaleu	Una persona	47
22088	Castillazuelo	Una persona	134
22089	Castillonroy	Una persona	251
22089	Castillonroy	La comunidad	5
22090	Colungo	Una persona	95
22094	Chalamera	Una persona	91
22094	Chalamera	La comunidad	1
22095	Chía	Una persona	56
22096	Chimillas	Una persona	76
22096	Chimillas	La comunidad	1
22099	Esplús	Una persona	259
22099	Esplús	La comunidad	5
22102	Estada	Una persona	100
22103	Estadilla	Una persona	369
22103	Estadilla	La comunidad	4
22105	Estopiñán del Castillo	Una persona	178
22106	Fago	Una persona	77
22107	Fanlo	Una persona	125
22109	Fiscal	Una persona	212
22109	Fiscal	La comunidad	1
22110	Fonz	Una persona	593
22110	Fonz	Un organismo público	1
22111	Foradada del Toscar	Una persona	139
22112	Fraga	Una persona	2009
22112	Fraga	La comunidad	211
22112	Fraga	Un organismo público	1
22113	Fueva (La)	Una persona	279
22114	Gistaín	Una persona	62
22115	Grado (El)	Una persona	401
22115	Grado (El)	Una sociedad	6
22116	Grañén	Una persona	681
22116	Grañén	La comunidad	22
22117	Graus	Una persona	1224
22117	Graus	La comunidad	120
22117	Graus	Una sociedad	1
