Provincia codigo	Provincia nombre	Grupo clase explotación	Explotaciones
22	Huesca	a) Sin tierras	401
22	Huesca	b) Con tierras labradas, pastos permanentes y otras tierras	2000
22	Huesca	c) Con tierras labradas, pastos permanentes y sin otras tierras	1169
22	Huesca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	3753
22	Huesca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	7688
22	Huesca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	572
22	Huesca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	587
22	Huesca	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	110
44	Teruel	a) Sin tierras	331
44	Teruel	b) Con tierras labradas, pastos permanentes y otras tierras	1064
44	Teruel	c) Con tierras labradas, pastos permanentes y sin otras tierras	996
44	Teruel	d) Con tierras labradas y otras tierras, y sin pastos permanentes	2251
44	Teruel	e) Con tierras labradas, sin pastos permanentes ni otras tierras	6687
44	Teruel	f) Sin tierras labradas, con pastos permanentes y con otras tierras	247
44	Teruel	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	170
44	Teruel	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	75
50	Zaragoza	a) Sin tierras	451
50	Zaragoza	b) Con tierras labradas, pastos permanentes y otras tierras	824
50	Zaragoza	c) Con tierras labradas, pastos permanentes y sin otras tierras	1270
50	Zaragoza	d) Con tierras labradas y otras tierras, y sin pastos permanentes	3853
50	Zaragoza	e) Con tierras labradas, sin pastos permanentes ni otras tierras	17656
50	Zaragoza	f) Sin tierras labradas, con pastos permanentes y con otras tierras	185
50	Zaragoza	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	325
50	Zaragoza	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	109
