CCAA código	CCAA nombre	Corine Land Cover 2000 nivel 1 código	Corine Land Cover 2000 nivel 1 descripción	Superficie (has)	Año
02	Aragón	1	Superficies artificiales	49185,780003	2000
02	Aragón	1	Superficies artificiales	40260,606002	2006
02	Aragón	2	Zonas agrícolas	2321543,069497	2000
02	Aragón	2	Zonas agrícolas	2330808,597188	2006
02	Aragón	3	Zonas forestales con vegetación natural y espacios abiertos	2369287,167685	2000
02	Aragón	3	Zonas forestales con vegetación natural y espacios abiertos	2370785,235412	2006
02	Aragón	4	Zonas húmedas	4320,993166	2000
02	Aragón	4	Zonas húmedas	3874,267719	2006
02	Aragón	5	Superficies de agua	28108,03528	2000
02	Aragón	5	Superficies de agua	27244,455294	2006
