Municipio código	Municipio nombre	Número habitaciones	Número habitaciones
22001	Abiego	02	1
22001	Abiego	04	7
22001	Abiego	05	24
22001	Abiego	06	27
22001	Abiego	07	29
22001	Abiego	08	9
22001	Abiego	09	2
22001	Abiego	10 o más	5
22002	Abizanda	02	1
22002	Abizanda	03	2
22002	Abizanda	04	1
22002	Abizanda	05	8
22002	Abizanda	06	15
22002	Abizanda	07	7
22002	Abizanda	09	4
22002	Abizanda	10 o más	8
22003	Adahuesca	04	16
22003	Adahuesca	05	24
22003	Adahuesca	06	19
22003	Adahuesca	07	8
22004	Agüero	03	5
22004	Agüero	04	15
22004	Agüero	05	19
22004	Agüero	06	19
22004	Agüero	07	7
22004	Agüero	08	2
22004	Agüero	09	1
22004	Agüero	10 o más	4
22006	Aísa	01	6
22006	Aísa	02	13
22006	Aísa	03	12
22006	Aísa	04	25
22006	Aísa	05	31
22006	Aísa	06	31
22006	Aísa	07	11
22006	Aísa	08	7
22006	Aísa	09	8
22006	Aísa	10 o más	5
22007	Albalate de Cinca	01	1
22007	Albalate de Cinca	02	2
22007	Albalate de Cinca	03	18
22007	Albalate de Cinca	04	48
22007	Albalate de Cinca	05	118
22007	Albalate de Cinca	06	124
22007	Albalate de Cinca	07	57
22007	Albalate de Cinca	08	22
22007	Albalate de Cinca	09	7
22007	Albalate de Cinca	10 o más	1
22008	Albalatillo	03	3
22008	Albalatillo	04	6
22008	Albalatillo	05	17
22008	Albalatillo	06	30
22008	Albalatillo	07	20
22008	Albalatillo	08	12
22008	Albalatillo	09	6
22008	Albalatillo	10 o más	7
22009	Albelda	02	2
22009	Albelda	03	8
22009	Albelda	04	44
22009	Albelda	05	92
22009	Albelda	06	81
22009	Albelda	07	50
22009	Albelda	08	23
22009	Albelda	09	13
22009	Albelda	10 o más	14
22011	Albero Alto	01	1
22011	Albero Alto	04	5
22011	Albero Alto	05	4
22011	Albero Alto	06	6
22011	Albero Alto	07	8
22011	Albero Alto	08	4
22011	Albero Alto	09	2
22011	Albero Alto	10 o más	7
22012	Albero Bajo	03	2
22012	Albero Bajo	04	4
22012	Albero Bajo	05	9
22012	Albero Bajo	06	15
22012	Albero Bajo	07	5
22012	Albero Bajo	08	2
22012	Albero Bajo	09	1
22012	Albero Bajo	10 o más	2
22013	Alberuela de Tubo	01	1
22013	Alberuela de Tubo	03	1
22013	Alberuela de Tubo	04	5
22013	Alberuela de Tubo	05	25
22013	Alberuela de Tubo	06	35
22013	Alberuela de Tubo	07	28
22013	Alberuela de Tubo	08	11
22013	Alberuela de Tubo	09	4
22013	Alberuela de Tubo	10 o más	3
22014	Alcalá de Gurrea	02	1
22014	Alcalá de Gurrea	03	2
22014	Alcalá de Gurrea	04	13
22014	Alcalá de Gurrea	05	27
22014	Alcalá de Gurrea	06	38
22014	Alcalá de Gurrea	07	24
22014	Alcalá de Gurrea	08	15
22014	Alcalá de Gurrea	09	3
22014	Alcalá de Gurrea	10 o más	9
22015	Alcalá del Obispo	02	1
22015	Alcalá del Obispo	03	3
22015	Alcalá del Obispo	04	10
22015	Alcalá del Obispo	05	33
22015	Alcalá del Obispo	06	41
22015	Alcalá del Obispo	07	24
22015	Alcalá del Obispo	08	15
22015	Alcalá del Obispo	09	8
22015	Alcalá del Obispo	10 o más	10
22016	Alcampell	01	2
22016	Alcampell	02	5
22016	Alcampell	03	38
22016	Alcampell	04	80
22016	Alcampell	05	73
22016	Alcampell	06	62
22016	Alcampell	07	41
22016	Alcampell	08	16
22016	Alcampell	09	4
22016	Alcampell	10 o más	9
22017	Alcolea de Cinca	01	1
22017	Alcolea de Cinca	02	6
22017	Alcolea de Cinca	03	54
22017	Alcolea de Cinca	04	90
22017	Alcolea de Cinca	05	123
22017	Alcolea de Cinca	06	103
22017	Alcolea de Cinca	07	21
22017	Alcolea de Cinca	08	10
22017	Alcolea de Cinca	09	2
22017	Alcolea de Cinca	10 o más	3
22018	Alcubierre	03	1
22018	Alcubierre	04	13
22018	Alcubierre	05	32
22018	Alcubierre	06	67
22018	Alcubierre	07	32
22018	Alcubierre	08	14
22018	Alcubierre	09	10
22018	Alcubierre	10 o más	5
22019	Alerre	02	1
22019	Alerre	03	3
22019	Alerre	04	6
22019	Alerre	05	14
22019	Alerre	06	19
22019	Alerre	07	9
22019	Alerre	08	3
22019	Alerre	09	6
22019	Alerre	10 o más	5
22020	Alfántega	04	7
22020	Alfántega	05	12
22020	Alfántega	06	16
22020	Alfántega	07	3
22020	Alfántega	08	2
22020	Alfántega	10 o más	1
22021	Almudévar	01	1
22021	Almudévar	02	1
22021	Almudévar	03	17
22021	Almudévar	04	68
22021	Almudévar	05	242
22021	Almudévar	06	280
22021	Almudévar	07	112
22021	Almudévar	08	58
22021	Almudévar	09	19
22021	Almudévar	10 o más	22
22022	Almunia de San Juan	01	1
22022	Almunia de San Juan	02	3
22022	Almunia de San Juan	03	6
22022	Almunia de San Juan	04	21
22022	Almunia de San Juan	05	81
22022	Almunia de San Juan	06	73
22022	Almunia de San Juan	07	27
22022	Almunia de San Juan	08	16
22022	Almunia de San Juan	09	5
22022	Almunia de San Juan	10 o más	4
22023	Almuniente	04	20
22023	Almuniente	05	54
22023	Almuniente	06	76
22023	Almuniente	07	28
22023	Almuniente	08	13
22023	Almuniente	09	3
22023	Almuniente	10 o más	10
22024	Alquézar	02	3
22024	Alquézar	04	11
22024	Alquézar	05	43
22024	Alquézar	06	25
22024	Alquézar	07	16
22024	Alquézar	08	8
22024	Alquézar	09	8
22024	Alquézar	10 o más	4
22025	Altorricón	02	1
22025	Altorricón	03	8
22025	Altorricón	04	32
22025	Altorricón	05	144
22025	Altorricón	06	191
22025	Altorricón	07	51
22025	Altorricón	08	38
22025	Altorricón	09	19
22025	Altorricón	10 o más	14
22027	Angüés	01	2
22027	Angüés	02	1
22027	Angüés	03	6
22027	Angüés	04	19
22027	Angüés	05	55
22027	Angüés	06	42
22027	Angüés	07	23
22027	Angüés	08	13
22027	Angüés	09	2
22027	Angüés	10 o más	9
22028	Ansó	01	2
22028	Ansó	02	3
22028	Ansó	03	16
22028	Ansó	04	32
22028	Ansó	05	39
22028	Ansó	06	48
22028	Ansó	07	34
22028	Ansó	08	18
22028	Ansó	09	4
22028	Ansó	10 o más	8
22029	Antillón	03	1
22029	Antillón	04	3
22029	Antillón	05	11
22029	Antillón	06	16
22029	Antillón	07	9
22029	Antillón	08	4
22029	Antillón	10 o más	4
22032	Aragüés del Puerto	02	1
22032	Aragüés del Puerto	03	4
22032	Aragüés del Puerto	04	11
22032	Aragüés del Puerto	05	15
22032	Aragüés del Puerto	06	14
22032	Aragüés del Puerto	07	5
22032	Aragüés del Puerto	08	2
22032	Aragüés del Puerto	09	2
22032	Aragüés del Puerto	10 o más	8
22035	Arén	02	2
22035	Arén	03	2
22035	Arén	04	7
22035	Arén	05	27
22035	Arén	06	55
22035	Arén	07	30
22035	Arén	08	13
22035	Arén	09	4
22035	Arén	10 o más	3
22036	Argavieso	04	2
22036	Argavieso	05	7
22036	Argavieso	06	12
22036	Argavieso	07	8
22036	Argavieso	08	6
22036	Argavieso	09	2
22036	Argavieso	10 o más	3
22037	Arguis	04	5
22037	Arguis	05	5
22037	Arguis	06	8
22037	Arguis	07	6
22037	Arguis	08	1
22037	Arguis	09	1
