Comarca código	Comarca nombre	Año de construcción	Número de edificios
01	La Jacetania	 Antes de 1900	2171
01	La Jacetania	1900 - 1920	241
01	La Jacetania	1921 - 1940	156
01	La Jacetania	1941 - 1950	139
01	La Jacetania	1951 - 1960	364
01	La Jacetania	1961 - 1970	358
01	La Jacetania	1971 - 1980	472
01	La Jacetania	1981 - 1990	706
01	La Jacetania	1991	98
01	La Jacetania	1992	67
01	La Jacetania	1993	43
01	La Jacetania	1994	57
01	La Jacetania	1995	56
01	La Jacetania	1996	59
01	La Jacetania	1997	31
01	La Jacetania	1998	70
01	La Jacetania	1999	168
01	La Jacetania	2000	81
01	La Jacetania	2001	105
02	Alto Gállego	 Antes de 1900	1110
02	Alto Gállego	1900 - 1920	105
02	Alto Gállego	1921 - 1940	105
02	Alto Gállego	1941 - 1950	177
02	Alto Gállego	1951 - 1960	322
02	Alto Gállego	1961 - 1970	269
02	Alto Gállego	1971 - 1980	335
02	Alto Gállego	1981 - 1990	388
02	Alto Gállego	1991	39
02	Alto Gállego	1992	58
02	Alto Gállego	1993	64
02	Alto Gállego	1994	28
02	Alto Gállego	1995	27
02	Alto Gállego	1996	36
02	Alto Gállego	1997	57
02	Alto Gállego	1998	77
02	Alto Gállego	1999	65
02	Alto Gállego	2000	79
02	Alto Gállego	2001	167
03	Sobrarbe	 Antes de 1900	1704
03	Sobrarbe	1900 - 1920	33
03	Sobrarbe	1921 - 1940	61
03	Sobrarbe	1941 - 1950	156
03	Sobrarbe	1951 - 1960	173
03	Sobrarbe	1961 - 1970	111
03	Sobrarbe	1971 - 1980	234
03	Sobrarbe	1981 - 1990	344
03	Sobrarbe	1991	32
03	Sobrarbe	1992	30
03	Sobrarbe	1993	25
03	Sobrarbe	1994	25
03	Sobrarbe	1995	22
03	Sobrarbe	1996	34
03	Sobrarbe	1997	21
03	Sobrarbe	1998	43
03	Sobrarbe	1999	48
03	Sobrarbe	2000	42
03	Sobrarbe	2001	55
04	La Ribagorza	 Antes de 1900	3013
04	La Ribagorza	1900 - 1920	507
04	La Ribagorza	1921 - 1940	295
04	La Ribagorza	1941 - 1950	91
04	La Ribagorza	1951 - 1960	223
04	La Ribagorza	1961 - 1970	297
04	La Ribagorza	1971 - 1980	498
04	La Ribagorza	1981 - 1990	471
04	La Ribagorza	1991	46
04	La Ribagorza	1992	44
04	La Ribagorza	1993	50
04	La Ribagorza	1994	38
04	La Ribagorza	1995	43
04	La Ribagorza	1996	57
04	La Ribagorza	1997	72
04	La Ribagorza	1998	107
04	La Ribagorza	1999	81
04	La Ribagorza	2000	103
04	La Ribagorza	2001	93
05	Cinco Villas	 Antes de 1900	1981
05	Cinco Villas	1900 - 1920	856
05	Cinco Villas	1921 - 1940	862
05	Cinco Villas	1941 - 1950	712
05	Cinco Villas	1951 - 1960	2059
05	Cinco Villas	1961 - 1970	1610
05	Cinco Villas	1971 - 1980	983
05	Cinco Villas	1981 - 1990	1130
05	Cinco Villas	1991	65
05	Cinco Villas	1992	77
05	Cinco Villas	1993	54
05	Cinco Villas	1994	110
05	Cinco Villas	1995	169
05	Cinco Villas	1996	119
05	Cinco Villas	1997	86
05	Cinco Villas	1998	160
05	Cinco Villas	1999	179
05	Cinco Villas	2000	205
05	Cinco Villas	2001	196
06	Hoya de Huesca / Plana de Uesca	 Antes de 1900	3270
06	Hoya de Huesca / Plana de Uesca	1900 - 1920	742
06	Hoya de Huesca / Plana de Uesca	1921 - 1940	756
06	Hoya de Huesca / Plana de Uesca	1941 - 1950	780
06	Hoya de Huesca / Plana de Uesca	1951 - 1960	1031
06	Hoya de Huesca / Plana de Uesca	1961 - 1970	869
06	Hoya de Huesca / Plana de Uesca	1971 - 1980	1062
06	Hoya de Huesca / Plana de Uesca	1981 - 1990	1092
06	Hoya de Huesca / Plana de Uesca	1991	86
06	Hoya de Huesca / Plana de Uesca	1992	89
06	Hoya de Huesca / Plana de Uesca	1993	85
06	Hoya de Huesca / Plana de Uesca	1994	81
06	Hoya de Huesca / Plana de Uesca	1995	75
