Aragón	Número de personas en el hogar	Número hogares
Aragón	01	99734
Aragón	02	120929
Aragón	03	96649
Aragón	04	88857
Aragón	05	25510
Aragón	06	7579
Aragón	07	2323
Aragón	08	813
Aragón	09	392
Aragón	10 o más	457
