Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2010	22053	Benabarre	Liquidaciones	Consolidada	3075510,43	151169,99	1049733,11	1077249,57	496547,54	72924,85	227885,37
2010	22054	Benasque	Liquidaciones	Consolidada	5555985,67	370651,08	2730531,37	406159,19	1079230,21	206312,26	763101,56
2010	22055	Berbegal	Liquidaciones	Consolidada	633557,1	10179,71	228343,52	97298,83	200768,9	17658,97	79307,17
2010	22057	Bielsa	Liquidaciones	Consolidada	1423227,28	0	436314,02	15396,34	163790,28	18144,71	789581,93
2010	22058	Bierge	Liquidaciones	Consolidada	834139,91	0	0	16024,29	91924,93	527712,47	198478,22
2010	22059	Biescas	Liquidaciones	Consolidada	3637693,42	229707	871510,31	664981,26	331981,29	111794,61	1427718,95
2010	22060	Binaced	Liquidaciones	Consolidada	1679505,77	50955,65	871056,33	83890,86	157995,61	119754,93	395852,39
2010	22061	Binéfar	Liquidaciones	Consolidada	8508737,29	419432,01	3557959,26	83512,07	2275336,18	215202,93	1957294,84
2010	22062	Bisaurri	Liquidaciones	Consolidada	298196,05	0	30841,29	0	4818,03	115878,94	146657,79
2010	22063	Biscarrués	Liquidaciones	Consolidada	312433,9	8788,91	34414,03	8017,69	88917,59	56559,74	115735,94
2010	22064	Blecua y Torres	Liquidaciones	Consolidada	335853,01	28004,81	0	22155,85	32080,43	1652,23	251959,69
2010	22066	Boltaña	Liquidaciones	Consolidada	1956587,84	15749,42	1338,21	111167,43	1512894,56	116571,53	198866,69
2010	22067	Bonansa	Liquidaciones	Consolidada	247658,13	6567,58	91464,31	1922,15	75492,47	2717,76	69493,86
2010	22068	Borau	Liquidaciones	Consolidada	163799,07	0	28066,46	6774,94	53275,2	27179,06	48503,41
2010	22069	Broto	Liquidaciones	Consolidada	989407,58	34826,75	291363,78	36115,68	738,32	130850,22	495512,83
2010	22072	Caldearenas	Liquidaciones	Consolidada	512834,58	27582,99	171597,85	7840,75	38355,92	49776,83	217680,24
2010	22074	Campo	Liquidaciones	Consolidada	1022733,32	69984,15	158745,72	270071,99	139350,01	14063	370518,45
2010	22075	Camporrells	Liquidaciones	Consolidada	687931,58	0	493621,61	0	106733,26	10949,61	76627,1
2010	22076	Canal de Berdún	Liquidaciones	Consolidada	517538,85	6107,97	135706,94	4409,16	64043,63	124757,33	182513,82
2010	22077	Candasnos	Liquidaciones	Sin información							
2010	22078	Canfranc	Liquidaciones	Consolidada	1510629,89	33732,57	406746,91	4156,44	716716,09	52373,09	296904,79
2010	22079	Capdesaso	Liquidaciones	Consolidada	365066,49	29514,49	4349,08	0	304314,33	0	26888,59
2010	22080	Capella	Liquidaciones	Consolidada	435860,68	0	0	0	0	0	435860,68
2010	22081	Casbas de Huesca	Liquidaciones	Consolidada	578674,59	9119,28	76951,4	0	371527,71	0	121076,2
2010	22082	Castejón del Puente	Liquidaciones	Consolidada	503291,59	6811,53	0	0	290250,76	52255,64	153973,66
2010	22083	Castejón de Monegros	Liquidaciones	Consolidada	794867,76	36873,48	0	71316,35	28840,38	202922,3	454915,25
2010	22084	Castejón de Sos	Liquidaciones	Consolidada	1586988,09	55761,68	344969,85	584274,48	292698,59	0	309283,49
2010	22085	Castelflorite	Liquidaciones	Consolidada	454363,42	3362,55	0	6991,4	339766,08	0	104243,39
2010	22086	Castiello de Jaca	Liquidaciones	Consolidada	512481,33	1333,25	115091,32	44040,23	148747,87	87370,85	115897,81
2010	22087	Castigaleu	Liquidaciones	Consolidada	329179,01	0	0	0	0	0	329179,01
2010	22088	Castillazuelo	Liquidaciones	Consolidada	220738,48	3600	0	0	92274,49	73842,19	51021,8
2010	22089	Castillonroy	Liquidaciones	Consolidada	444848,21	0	293463,83	0	49004,67	63165,43	39214,28
2010	22090	Colungo	Liquidaciones	Consolidada	170959,28	26828,92	17364,75	2861,46	79926,46	0	43977,69
2010	22094	Chalamera	Liquidaciones	Consolidada	153974,51	7567,9	39852,35	0	0	92205,64	14348,62
2010	22095	Chía	Liquidaciones	Consolidada	151424,42	0	62600,98	0	27929,44	0	60894
2010	22096	Chimillas	Liquidaciones	Consolidada	263299,69	0	43854,76	0	63722,46	0	155722,47
2010	22099	Esplús	Liquidaciones	Consolidada	889482,73	0	163756,54	4921,26	266223,67	281158,05	173423,21
2010	22102	Estada	Liquidaciones	Consolidada	224962,33	0	96276,34	0	20869,53	0	107816,46
2010	22103	Estadilla	Liquidaciones	Consolidada	2213554,29	87574,21	288118,93	21443,89	367762,28	21065,52	1427589,46
2010	22105	Estopiñán del Castillo	Liquidaciones	Consolidada	364698,32	17718,94	57801,23	18263,83	30974,11	21189	218751,21
2010	22106	Fago	Liquidaciones	Consolidada	191139,54	2638,39	0	0	171108,92	0	17392,23
2010	22107	Fanlo	Liquidaciones	Consolidada	639782,66	0	555025,17	3798,34	3516,99	0	77442,16
2010	22109	Fiscal	Liquidaciones	Consolidada	881003,34	33548,23	144308,08	19009,52	417437,11	86322,2	180378,2
2010	22110	Fonz	Liquidaciones	Consolidada	1540577,86	48157,09	30736,04	0	674879,18	9605,34	777200,21
2010	22111	Foradada del Toscar	Liquidaciones	Consolidada	270044	1800	0	0	110763,31	0	157480,69
2010	22112	Fraga	Liquidaciones	Consolidada	12050377,6	764928,09	4548056,72	52048,67	3285424,46	1231603,18	2168316,48
2010	22113	Fueva (La)	Liquidaciones	Consolidada	1550020,52	577105,22	390439,23	17830,31	41974,05	68105,6	454566,11
2010	22114	Gistaín	Liquidaciones	Consolidada	366143,77	3601,06	195613,3	0	16831,63	0	150097,78
2010	22115	Grado (El)	Liquidaciones	Consolidada	1394370,89	99716,19	359113,86	95867,98	193803,87	384354,24	261514,75
2010	22116	Grañén	Liquidaciones	Consolidada	1509530,9	246155,83	288918,48	108352,37	199323,33	3902,31	662878,58
2010	22117	Graus	Liquidaciones	Consolidada	5412699,8	282188,06	990827,55	1279470,26	1589812,18	519490,82	750910,93
2010	22119	Gurrea de Gállego	Liquidaciones	Consolidada	2081989,69	110922,05	695893,9	375910,71	453668,56	151695,86	293898,61
2010	22122	Hoz de Jaca	Liquidaciones	Consolidada	295589,41	4295,04	18832,27	9552,54	0	193426,06	69483,5
2010	22124	Huerto	Liquidaciones	Consolidada	596472,73	16843,33	0	17673,68	460907,91	0	101047,81
2010	22125	Huesca	Liquidaciones	Consolidada	52838188,33	3235228,56	21005522,71	8418667,94	10725099,07	1991739,45	7461930,6
2010	22126	Ibieca	Liquidaciones	Consolidada	164235,41	274,02	79944,45	4417,59	20934,47	0	58664,88
2010	22127	Igriés	Liquidaciones	Consolidada	525684,49	277,45	277995,04	20423,36	139479,49	0	87509,15
2010	22128	Ilche	Liquidaciones	Consolidada	279260,93	0	49958,63	13482,41	5643,07	138073,05	72103,77
2010	22129	Isábena	Liquidaciones	Consolidada	413374,25	11034,48	248272,4	23759,41	62388,77	1512,94	66406,25
2010	22130	Jaca	Liquidaciones	Consolidada	22640587,14	2321342,92	8199149,63	632393,69	5585823,72	2903583,05	2998294,13
2010	22131	Jasa	Liquidaciones	Consolidada	183584,89	10126,21	50961,26	0	10984,82	0	111512,6
2010	22133	Labuerda	Liquidaciones	Consolidada	494359,47	4037,1	0	11276,28	136522,4	0	342523,69
2010	22135	Laluenga	Liquidaciones	Consolidada	472125,13	0	0	12883,84	61420,79	242914,59	154905,91
2010	22136	Lalueza	Liquidaciones	Consolidada	1196844,96	51901,3	238430,85	0	469632,84	49800,01	387079,96
2010	22137	Lanaja	Liquidaciones	Consolidada	1180075,11	7614,83	464845,89	76059,62	231358,73	0	400196,04
2010	22139	Laperdiguera	Liquidaciones	Consolidada	212035,37	0	0	5103,51	67283,66	102678,6	36969,6
2010	22141	Lascellas-Ponzano	Liquidaciones	Consolidada	406563,97	9333,34	0	7978,66	49285,03	231938,63	108028,31
2010	22142	Lascuarre	Liquidaciones	Consolidada	361850,78	0	0	0	0	0	361850,78
2010	22143	Laspaúles	Liquidaciones	Consolidada	494884,16	18142,03	135879,38	38271,79	26929,53	181367,72	94293,71
2010	22144	Laspuña	Liquidaciones	Consolidada	375377,37	21059,04	122319,3	829,08	33945,97	33917,53	163306,45
2010	22149	Loarre	Liquidaciones	Consolidada	717800,43	8251,57	92683,65	37352,62	401882,4	1062	176568,19
2010	22150	Loporzano	Liquidaciones	Consolidada	590035,77	2919,72	251258,11	25602,83	118913,55	41539,4	149802,16
2010	22151	Loscorrales	Liquidaciones	Consolidada	227298,14	8288,01	135382,06	0	57068,08	0	26559,99
2010	22155	Monesma y Cajigar	Liquidaciones	Consolidada	110824,15	0	0	0	0	0	110824,15
2010	22156	Monflorite-Lascasas	Liquidaciones	Consolidada	661855,75	8666,18	300697,09	40431,25	151532,87	0	160528,36
2010	22157	Montanuy	Liquidaciones	Consolidada	1591018,41	872,21	284490,68	67684,47	164267,45	786413,14	287290,46
2010	22158	Monzón	Liquidaciones	Consolidada	22040920,02	1839755,46	8511340,91	3006747,75	4821259,87	271162,27	3590653,76
2010	22160	Naval	Liquidaciones	Consolidada	492263,78	7315,41	79390,34	0	49972,78	203764,05	151821,2
2010	22162	Novales	Liquidaciones	Consolidada	332719,98	5325,61	157484,77	0	110049,85	21214,19	38645,56
2010	22163	Nueno	Liquidaciones	Consolidada	735788,21	346,15	472119,42	50169,63	42265,64	10071,74	160815,63
2010	22164	Olvena	Liquidaciones	Consolidada	179332,09	0	103854,3	3362,55	501,87	0	71613,37
2010	22165	Ontiñena	Liquidaciones	Consolidada	608797,12	12028,25	41386,73	31315,45	52879,93	269182,35	202004,41
2010	22167	Osso de Cinca	Liquidaciones	Consolidada	725127,5	24516,47	105412,66	36973,79	228603,21	0	329621,37
2010	22168	Palo	Liquidaciones	Consolidada	269447,98	109233,72	56830,78	888,57	42501,33	12079,88	47913,7
2010	22170	Panticosa	Liquidaciones	Consolidada	2284083,1	126803,07	277241,33	166710,65	158736,16	591996,76	962595,13
2010	22172	Peñalba	Liquidaciones	Consolidada	995308,55	3600	45046,55	40468,25	721550,26	0	184643,49
2010	22173	Peñas de Riglos (Las)	Liquidaciones	Consolidada	341692,35	0	208359,37	0	41898,65	1965,88	89468,45
2010	22174	Peralta de Alcofea	Liquidaciones	Consolidada	996029,41	0	229934,83	5818,59	364065,55	154299,68	241910,76
2010	22175	Peralta de Calasanz	Liquidaciones	Consolidada	406739,66	21282,82	190735,83	0	64273,67	50909,02	79538,32
2010	22176	Peraltilla	Liquidaciones	Consolidada	341622,04	9278,79	207895,75	1304	31774,48	9383,53	81985,49
2010	22177	Perarrúa	Liquidaciones	Consolidada	405306,25	700,01	84092,77	2413,78	49041,22	134512,94	134545,53
2010	22178	Pertusa	Liquidaciones	Consolidada	398960,08	13300,32	287245,38	6112,22	16538,34	0	75763,82
