Aragón	Municipio estudio, código	Municipio estudio, nombre	Personas residentes viviendas familiares
Aragón	28079	Madrid	919
Aragón	08019	Barcelona	813
Aragón	25120	Lleida	804
Aragón	46250	Valencia	619
Aragón	31201	Pamplona/Iruña	504
Aragón	37274	Salamanca	179
Aragón	12040	Castellón de la Plana/Castelló de la Plana	106
Aragón	42173	Soria	76
Aragón	43148	Tarragona	65
Aragón	40194	Segovia	56
