Provincia código	Provincia nombre	Clase de propietario	Número de edificios
22	Huesca	Una persona	55457
22	Huesca	La comunidad	4979
22	Huesca	Una sociedad	93
22	Huesca	Un organismo público	22
44	Teruel	Una persona	67092
44	Teruel	La comunidad	2395
44	Teruel	Una sociedad	37
44	Teruel	Un organismo público	14
50	Zaragoza	Una persona	123504
50	Zaragoza	La comunidad	18502
50	Zaragoza	Una sociedad	257
50	Zaragoza	Un organismo público	64
