Provincia código	Provincia nombre	Año	Votos	Siglas	Diputados
22	Huesca	2011	159995	PP-PAR	3
22	Huesca	2011	111084	PSOE	1
22	Huesca	2011	23992	CHA-IU	0
22	Huesca	2011	5799	UPyD	0
22	Huesca	2011	4682	EQUO	0
22	Huesca	2011	1357	PACMA	0
22	Huesca	2011	716	PCPE	0
22	Huesca	2011	1081	PUM+J	0
22	Huesca	2011	352	UCE	0
44	Teruel	2011	110666	PP-PAR	3
44	Teruel	2011	69938	PSOE	1
44	Teruel	2011	14357	CHA-IU	0
44	Teruel	2011	2761	UPyD	0
44	Teruel	2011	672	PACMA	0
44	Teruel	2011	1225	Eb	0
44	Teruel	2011	502	PUM+J	0
44	Teruel	2011	228	UCE	0
44	Teruel	2011	446	SXT	0
50	Zaragoza	2011	662356	PP-PAR	3
50	Zaragoza	2011	425329	PSOE	1
50	Zaragoza	2011	144300	CHA-IU	0
50	Zaragoza	2011	32172	UPyD	0
50	Zaragoza	2011	11831	EQUO	0
50	Zaragoza	2011	10152	PACMA	0
50	Zaragoza	2011	12854	Eb	0
50	Zaragoza	2011	1828	PCPE	0
50	Zaragoza	2011	2807	PUM+J	0
50	Zaragoza	2011	780	UCE	0
50	Zaragoza	2011	1887	DeC	0
50	Zaragoza	2011	1209	PH	0
50	Zaragoza	2011	1041	P-LIB	0
