Municipio código	Municipio nombre	Superficie agrícola utilizada código	Superficie agrícola utilizada	Explotaciones
22001	Abiego	01	a) Sin SAU	1
22001	Abiego	02	b) <2 Ha de SAU	1
22001	Abiego	05	b) <2 Ha de SAU	2
22001	Abiego	06	c) >=2 a <5 Ha de SAU	2
22001	Abiego	07	c) >=2 a <5 Ha de SAU	1
22001	Abiego	08	c) >=2 a <5 Ha de SAU	3
22001	Abiego	09	d) >=5 a < 10 Ha de SAU	5
22001	Abiego	10	e) >=10 a <20 Ha de SAU	13
22001	Abiego	11	f) >=20 a < 30 Ha de SAU	7
22001	Abiego	12	g) >=30 a < 50 Ha de SAU	7
22001	Abiego	13	h) >=50 a < 100 Ha de SAU	4
22001	Abiego	14	h) >=50 a < 100 Ha de SAU	2
22001	Abiego	15	i) >=100 Ha de SAU	1
22001	Abiego	16	i) >=100 Ha de SAU	2
22001	Abiego	17	i) >=100 Ha de SAU	1
22001	Abiego	18	i) >=100 Ha de SAU	1
22002	Abizanda	01	a) Sin SAU	2
22002	Abizanda	09	d) >=5 a < 10 Ha de SAU	4
22002	Abizanda	10	e) >=10 a <20 Ha de SAU	5
22002	Abizanda	11	f) >=20 a < 30 Ha de SAU	5
22002	Abizanda	12	g) >=30 a < 50 Ha de SAU	3
22002	Abizanda	13	h) >=50 a < 100 Ha de SAU	2
22002	Abizanda	14	h) >=50 a < 100 Ha de SAU	3
22002	Abizanda	15	i) >=100 Ha de SAU	3
22003	Adahuesca	01	a) Sin SAU	1
22003	Adahuesca	05	b) <2 Ha de SAU	3
22003	Adahuesca	06	c) >=2 a <5 Ha de SAU	3
22003	Adahuesca	07	c) >=2 a <5 Ha de SAU	1
22003	Adahuesca	08	c) >=2 a <5 Ha de SAU	2
22003	Adahuesca	09	d) >=5 a < 10 Ha de SAU	7
22003	Adahuesca	10	e) >=10 a <20 Ha de SAU	6
22003	Adahuesca	11	f) >=20 a < 30 Ha de SAU	5
22003	Adahuesca	12	g) >=30 a < 50 Ha de SAU	12
22003	Adahuesca	13	h) >=50 a < 100 Ha de SAU	8
22003	Adahuesca	14	h) >=50 a < 100 Ha de SAU	4
