Comarca código	Comarca nombre	Espacios Naturales Protegidos	Superficie de Espacios Naturales Protegidos	Lugares de Importancia Comunitaria	Superficie Lugares de Importacia Comunitaria	Zonas de especial Protección para las Aves	Superficie Zonas de Especial Protección para las Aves
01	La Jacetania	4	38458,4801	18	95666,14074	7	53414,28533
02	Alto Gállego	4	1798,526776	19	30000,91867	4	24274,95075
03	Sobrarbe	7	33835,83904	22	102176,3824	7	89336,34756
04	La Ribagorza	4	25738,11344	14	59873,26789	4	64196,94466
05	Cinco Villas	0	0	9	21844,80905	4	21850,20005
06	Hoya de Huesca / Plana de Uesca	2	18505,8148	9	39846,87607	6	63565,7808
07	Somontano de Barbastro	1	17792,48	5	22724,96827	1	25169,5129
08	Cinca Medio	0	0	2	5156,486189	0	0
09	La Litera / La Llitera	0	0	1	7655,480058	0	0
10	Los Monegros	0	0	6	52773,76423	6	59141,63103
11	Bajo Cinca / Baix Cinca	0	0	6	18469,81372	6	38679,73781
12	Tarazona y el Moncayo	1	5881,44	2	6603,084585	1	7848,697327
13	Campo de Borja	1	975,83	6	7109,697113	1	393,2382507
14	Aranda	1	4300,6	5	7728,144388	2	10151,63829
15	Ribera Alta del Ebro	0	0	3	868,4278763	1	4471,729309
16	Valdejalón	0	0	8	9276,688564	1	7654,910583
17	D.C. Zaragoza	1	1536,664845	9	67939,88996	6	49728,46258
18	Ribera Baja del Ebro	0	0	8	32535,85414	4	43804,91679
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	161,98	8	13629,79769	3	40435,75244
20	Comunidad de Calatayud	0	0	10	37116,61946	3	29420,82751
21	Campo de Cariñena	0	0	4	10293,10691	1	6447,270102
22	Campo de Belchite	0	0	3	17156,13184	2	17387,93378
23	Bajo Martín	0	0	6	9327,320162	1	9142,412201
24	Campo de Daroca	1	1268,95	10	29730,49731	3	14454,24285
25	Jiloca	1	654,61	7	20815,28949	4	6698,725854
26	Cuencas Mineras	0	0	3	18023,42463	2	31044,17001
27	Andorra-Sierra de Arcos	1	50,896592	5	8291,859947	2	14241,62686
28	Bajo Aragón	0	0	5	2632,35148	1	3260,617256
29	Comunidad de Teruel	0	0	10	26166,41795	4	20561,49984
30	Maestrazgo	4	625,180577	4	35195,05554	1	41483,58649
31	Sierra de Albarracín	1	6833,14	10	76642,90406	2	34360,36121
32	Gúdar-Javalambre	0	0	7	135112,7567	0	0
33	Matarraña / Matarranya	0	0	4	15605,55137	2	14772,78152
