Provincia código origen	Provincia nombre origen	Municipio código origen	Municipio nombre origen	Sexo	Año	Variaciones
22	Huesca	22001	Abiego	Mujeres	2017	7
22	Huesca	22002	Abizanda	Hombres	2017	10
22	Huesca	22002	Abizanda	Mujeres	2017	7
22	Huesca	22003	Adahuesca	Hombres	2017	7
22	Huesca	22003	Adahuesca	Mujeres	2017	6
22	Huesca	22004	Agüero	Hombres	2017	2
22	Huesca	22004	Agüero	Mujeres	2017	3
22	Huesca	22006	Aísa	Hombres	2017	8
22	Huesca	22006	Aísa	Mujeres	2017	8
22	Huesca	22007	Albalate de Cinca	Hombres	2017	24
22	Huesca	22007	Albalate de Cinca	Mujeres	2017	20
22	Huesca	22008	Albalatillo	Hombres	2017	6
22	Huesca	22008	Albalatillo	Mujeres	2017	5
22	Huesca	22009	Albelda	Hombres	2017	12
22	Huesca	22009	Albelda	Mujeres	2017	11
22	Huesca	22011	Albero Alto	Hombres	2017	7
22	Huesca	22011	Albero Alto	Mujeres	2017	4
22	Huesca	22012	Albero Bajo	Hombres	2017	2
22	Huesca	22012	Albero Bajo	Mujeres	2017	5
22	Huesca	22013	Alberuela de Tubo	Hombres	2017	3
22	Huesca	22013	Alberuela de Tubo	Mujeres	2017	3
22	Huesca	22014	Alcalá de Gurrea	Hombres	2017	11
22	Huesca	22014	Alcalá de Gurrea	Mujeres	2017	9
22	Huesca	22015	Alcalá del Obispo	Hombres	2017	9
22	Huesca	22015	Alcalá del Obispo	Mujeres	2017	11
22	Huesca	22016	Alcampell	Hombres	2017	15
22	Huesca	22016	Alcampell	Mujeres	2017	11
22	Huesca	22017	Alcolea de Cinca	Hombres	2017	39
22	Huesca	22017	Alcolea de Cinca	Mujeres	2017	29
22	Huesca	22018	Alcubierre	Hombres	2017	6
22	Huesca	22018	Alcubierre	Mujeres	2017	7
22	Huesca	22019	Alerre	Hombres	2017	1
22	Huesca	22019	Alerre	Mujeres	2017	2
22	Huesca	22020	Alfántega	Hombres	2017	4
22	Huesca	22020	Alfántega	Mujeres	2017	5
22	Huesca	22021	Almudévar	Hombres	2017	61
22	Huesca	22021	Almudévar	Mujeres	2017	59
22	Huesca	22022	Almunia de San Juan	Hombres	2017	19
22	Huesca	22022	Almunia de San Juan	Mujeres	2017	12
22	Huesca	22023	Almuniente	Hombres	2017	14
22	Huesca	22023	Almuniente	Mujeres	2017	15
22	Huesca	22024	Alquézar	Hombres	2017	8
22	Huesca	22024	Alquézar	Mujeres	2017	9
22	Huesca	22025	Altorricón	Hombres	2017	35
22	Huesca	22025	Altorricón	Mujeres	2017	24
22	Huesca	22027	Angüés	Hombres	2017	10
22	Huesca	22027	Angüés	Mujeres	2017	12
22	Huesca	22028	Ansó	Hombres	2017	5
22	Huesca	22028	Ansó	Mujeres	2017	6
22	Huesca	22029	Antillón	Hombres	2017	2
22	Huesca	22029	Antillón	Mujeres	2017	6
22	Huesca	22032	Aragüés del Puerto	Mujeres	2017	1
22	Huesca	22035	Arén	Hombres	2017	10
22	Huesca	22035	Arén	Mujeres	2017	5
22	Huesca	22036	Argavieso	Hombres	2017	3
22	Huesca	22036	Argavieso	Mujeres	2017	2
22	Huesca	22037	Arguis	Hombres	2017	3
22	Huesca	22037	Arguis	Mujeres	2017	3
22	Huesca	22039	Ayerbe	Hombres	2017	27
22	Huesca	22039	Ayerbe	Mujeres	2017	30
22	Huesca	22040	Azanuy-Alins	Hombres	2017	10
22	Huesca	22040	Azanuy-Alins	Mujeres	2017	4
22	Huesca	22041	Azara	Hombres	2017	5
22	Huesca	22041	Azara	Mujeres	2017	2
22	Huesca	22042	Azlor	Hombres	2017	1
22	Huesca	22042	Azlor	Mujeres	2017	2
22	Huesca	22043	Baells	Hombres	2017	1
22	Huesca	22043	Baells	Mujeres	2017	1
22	Huesca	22044	Bailo	Hombres	2017	5
22	Huesca	22044	Bailo	Mujeres	2017	3
22	Huesca	22045	Baldellou	Hombres	2017	1
22	Huesca	22045	Baldellou	Mujeres	2017	2
22	Huesca	22046	Ballobar	Hombres	2017	18
22	Huesca	22046	Ballobar	Mujeres	2017	11
22	Huesca	22047	Banastás	Hombres	2017	5
22	Huesca	22047	Banastás	Mujeres	2017	1
22	Huesca	22048	Barbastro	Hombres	2017	248
22	Huesca	22048	Barbastro	Mujeres	2017	301
22	Huesca	22049	Barbués	Hombres	2017	3
22	Huesca	22049	Barbués	Mujeres	2017	3
22	Huesca	22051	Bárcabo	Hombres	2017	3
22	Huesca	22051	Bárcabo	Mujeres	2017	4
22	Huesca	22052	Belver de Cinca	Hombres	2017	30
22	Huesca	22052	Belver de Cinca	Mujeres	2017	15
22	Huesca	22053	Benabarre	Hombres	2017	27
22	Huesca	22053	Benabarre	Mujeres	2017	20
22	Huesca	22054	Benasque	Hombres	2017	78
22	Huesca	22054	Benasque	Mujeres	2017	65
22	Huesca	22055	Berbegal	Hombres	2017	7
22	Huesca	22055	Berbegal	Mujeres	2017	4
22	Huesca	22057	Bielsa	Hombres	2017	5
22	Huesca	22057	Bielsa	Mujeres	2017	8
22	Huesca	22058	Bierge	Hombres	2017	6
22	Huesca	22058	Bierge	Mujeres	2017	8
22	Huesca	22059	Biescas	Hombres	2017	34
22	Huesca	22059	Biescas	Mujeres	2017	24
22	Huesca	22060	Binaced	Hombres	2017	27
22	Huesca	22060	Binaced	Mujeres	2017	15
22	Huesca	22061	Binéfar	Hombres	2017	197
22	Huesca	22061	Binéfar	Mujeres	2017	156
22	Huesca	22062	Bisaurri	Hombres	2017	3
22	Huesca	22062	Bisaurri	Mujeres	2017	2
22	Huesca	22063	Biscarrués	Hombres	2017	4
22	Huesca	22063	Biscarrués	Mujeres	2017	4
22	Huesca	22064	Blecua y Torres	Mujeres	2017	2
22	Huesca	22066	Boltaña	Hombres	2017	20
22	Huesca	22066	Boltaña	Mujeres	2017	20
22	Huesca	22067	Bonansa	Hombres	2017	2
22	Huesca	22067	Bonansa	Mujeres	2017	1
22	Huesca	22068	Borau	Hombres	2017	3
22	Huesca	22068	Borau	Mujeres	2017	3
22	Huesca	22069	Broto	Hombres	2017	14
22	Huesca	22069	Broto	Mujeres	2017	20
22	Huesca	22072	Caldearenas	Hombres	2017	7
22	Huesca	22072	Caldearenas	Mujeres	2017	10
22	Huesca	22074	Campo	Hombres	2017	2
22	Huesca	22074	Campo	Mujeres	2017	4
22	Huesca	22075	Camporrells	Hombres	2017	3
22	Huesca	22075	Camporrells	Mujeres	2017	3
22	Huesca	22076	Canal de Berdún	Hombres	2017	7
22	Huesca	22076	Canal de Berdún	Mujeres	2017	10
22	Huesca	22077	Candasnos	Hombres	2017	2
22	Huesca	22078	Canfranc	Hombres	2017	17
22	Huesca	22078	Canfranc	Mujeres	2017	12
22	Huesca	22079	Capdesaso	Hombres	2017	4
22	Huesca	22079	Capdesaso	Mujeres	2017	5
22	Huesca	22080	Capella	Hombres	2017	13
22	Huesca	22080	Capella	Mujeres	2017	11
22	Huesca	22081	Casbas de Huesca	Hombres	2017	8
22	Huesca	22081	Casbas de Huesca	Mujeres	2017	5
22	Huesca	22082	Castejón del Puente	Hombres	2017	11
22	Huesca	22082	Castejón del Puente	Mujeres	2017	9
22	Huesca	22083	Castejón de Monegros	Hombres	2017	7
22	Huesca	22083	Castejón de Monegros	Mujeres	2017	12
22	Huesca	22084	Castejón de Sos	Hombres	2017	17
22	Huesca	22084	Castejón de Sos	Mujeres	2017	23
22	Huesca	22085	Castelflorite	Mujeres	2017	1
22	Huesca	22086	Castiello de Jaca	Hombres	2017	8
22	Huesca	22086	Castiello de Jaca	Mujeres	2017	4
22	Huesca	22087	Castigaleu	Hombres	2017	2
22	Huesca	22087	Castigaleu	Mujeres	2017	2
22	Huesca	22088	Castillazuelo	Hombres	2017	6
22	Huesca	22088	Castillazuelo	Mujeres	2017	2
22	Huesca	22089	Castillonroy	Hombres	2017	5
22	Huesca	22089	Castillonroy	Mujeres	2017	5
22	Huesca	22090	Colungo	Hombres	2017	5
22	Huesca	22090	Colungo	Mujeres	2017	6
22	Huesca	22094	Chalamera	Hombres	2017	3
22	Huesca	22094	Chalamera	Mujeres	2017	1
22	Huesca	22095	Chía	Hombres	2017	1
22	Huesca	22095	Chía	Mujeres	2017	4
22	Huesca	22096	Chimillas	Hombres	2017	2
22	Huesca	22096	Chimillas	Mujeres	2017	5
22	Huesca	22099	Esplús	Hombres	2017	13
22	Huesca	22099	Esplús	Mujeres	2017	12
22	Huesca	22102	Estada	Hombres	2017	2
22	Huesca	22102	Estada	Mujeres	2017	6
22	Huesca	22103	Estadilla	Hombres	2017	19
22	Huesca	22103	Estadilla	Mujeres	2017	26
22	Huesca	22105	Estopiñán del Castillo	Hombres	2017	8
22	Huesca	22105	Estopiñán del Castillo	Mujeres	2017	8
22	Huesca	22106	Fago	Hombres	2017	2
22	Huesca	22106	Fago	Mujeres	2017	3
22	Huesca	22107	Fanlo	Hombres	2017	3
22	Huesca	22107	Fanlo	Mujeres	2017	3
22	Huesca	22109	Fiscal	Hombres	2017	11
22	Huesca	22109	Fiscal	Mujeres	2017	15
22	Huesca	22110	Fonz	Hombres	2017	12
22	Huesca	22110	Fonz	Mujeres	2017	17
22	Huesca	22111	Foradada del Toscar	Hombres	2017	4
22	Huesca	22111	Foradada del Toscar	Mujeres	2017	4
22	Huesca	22112	Fraga	Hombres	2017	428
22	Huesca	22112	Fraga	Mujeres	2017	324
22	Huesca	22113	Fueva (La)	Hombres	2017	26
22	Huesca	22113	Fueva (La)	Mujeres	2017	9
22	Huesca	22114	Gistaín	Hombres	2017	3
22	Huesca	22114	Gistaín	Mujeres	2017	4
22	Huesca	22115	Grado (El)	Hombres	2017	9
22	Huesca	22115	Grado (El)	Mujeres	2017	12
22	Huesca	22116	Grañén	Hombres	2017	32
22	Huesca	22116	Grañén	Mujeres	2017	34
22	Huesca	22117	Graus	Hombres	2017	64
22	Huesca	22117	Graus	Mujeres	2017	71
22	Huesca	22119	Gurrea de Gállego	Hombres	2017	24
22	Huesca	22119	Gurrea de Gállego	Mujeres	2017	22
22	Huesca	22122	Hoz de Jaca	Hombres	2017	1
22	Huesca	22122	Hoz de Jaca	Mujeres	2017	1
22	Huesca	22124	Huerto	Hombres	2017	6
22	Huesca	22124	Huerto	Mujeres	2017	7
22	Huesca	22125	Huesca	Hombres	2017	937
22	Huesca	22125	Huesca	Mujeres	2017	971
22	Huesca	22126	Ibieca	Hombres	2017	1
22	Huesca	22126	Ibieca	Mujeres	2017	3
22	Huesca	22127	Igriés	Hombres	2017	12
22	Huesca	22127	Igriés	Mujeres	2017	13
22	Huesca	22128	Ilche	Hombres	2017	4
22	Huesca	22128	Ilche	Mujeres	2017	1
22	Huesca	22129	Isábena	Hombres	2017	21
22	Huesca	22129	Isábena	Mujeres	2017	18
22	Huesca	22130	Jaca	Hombres	2017	348
22	Huesca	22130	Jaca	Mujeres	2017	296
22	Huesca	22131	Jasa	Hombres	2017	3
22	Huesca	22131	Jasa	Mujeres	2017	2
22	Huesca	22133	Labuerda	Hombres	2017	3
22	Huesca	22133	Labuerda	Mujeres	2017	4
22	Huesca	22135	Laluenga	Hombres	2017	6
22	Huesca	22135	Laluenga	Mujeres	2017	7
22	Huesca	22136	Lalueza	Hombres	2017	15
22	Huesca	22136	Lalueza	Mujeres	2017	15
22	Huesca	22137	Lanaja	Hombres	2017	26
22	Huesca	22137	Lanaja	Mujeres	2017	27
22	Huesca	22139	Laperdiguera	Mujeres	2017	3
22	Huesca	22141	Lascellas-Ponzano	Hombres	2017	4
22	Huesca	22141	Lascellas-Ponzano	Mujeres	2017	2
22	Huesca	22142	Lascuarre	Hombres	2017	3
22	Huesca	22142	Lascuarre	Mujeres	2017	2
