CCAA nombre	CCAA código	Año	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
Aragón	02	2019	1018530	673880	344650	4540	6587	662753	66,1620178099811
Aragón	02	2015	1020106	676654	343452	8796	13224	654634	66,3317341531174
Aragón	02	2011	1015919	689904	326015	10375	21678	657851	67,9093510407818
Aragón	02	2007	1017174	676491	340683	4655	14890	656946	66,5069103221278
