Aragón	Sexo	Edad	Número hogares
Aragón	Hombres	16 a 34 años	9689
Aragón	Hombres	35 a 64 años	18518
Aragón	Hombres	Mayores de 64 años	13687
Aragón	Mujeres	16 a 34 años	6286
Aragón	Mujeres	35 a 64 años	12937
Aragón	Mujeres	Mayores de 64 años	38617
