Provincia código	Provincia nombre	Continente	Area nacionalidad, código	Área	Nacionalidad, código	Nacionalidad, nombre	Personas
22	Huesca	Europa	01	UE-15	102	AUSTRIA	11
22	Huesca	Europa	01	UE-15	103	BELGICA	37
22	Huesca	Europa	01	UE-15	107	DINAMARCA	4
22	Huesca	Europa	01	UE-15	110	FRANCIA	282
22	Huesca	Europa	01	UE-15	113	IRLANDA	8
22	Huesca	Europa	01	UE-15	115	ITALIA	40
22	Huesca	Europa	01	UE-15	121	PAISES BAJOS	43
22	Huesca	Europa	01	UE-15	123	PORTUGAL	99
22	Huesca	Europa	01	UE-15	125	REINO UNIDO	72
22	Huesca	Europa	01	UE-15	126	ALEMANIA	72
22	Huesca	Europa	01	UE-15	131	SUECIA	3
22	Huesca	Europa	02	Resto de Europa	104	BULGARIA	213
22	Huesca	Europa	02	Resto de Europa	112	HUNGRIA	7
22	Huesca	Europa	02	Resto de Europa	122	POLONIA	107
22	Huesca	Europa	02	Resto de Europa	124	ANDORRA	1
22	Huesca	Europa	02	Resto de Europa	128	RUMANIA	352
22	Huesca	Europa	02	Resto de Europa	132	SUIZA	24
22	Huesca	Europa	02	Resto de Europa	135	UCRANIA	226
22	Huesca	Europa	02	Resto de Europa	136	LETONIA	1
22	Huesca	Europa	02	Resto de Europa	137	MOLDAVA	1
22	Huesca	Europa	02	Resto de Europa	138	BIELORRUSIA	8
22	Huesca	Europa	02	Resto de Europa	141	ESTONIA	3
22	Huesca	Europa	02	Resto de Europa	142	LITUANIA	85
22	Huesca	Europa	02	Resto de Europa	143	REPUBLICA CHECA	5
22	Huesca	Europa	02	Resto de Europa	144	REPUBLICA ESLOVACA	8
22	Huesca	Europa	02	Resto de Europa	147	ESLOVENIA	1
22	Huesca	Europa	02	Resto de Europa	148	ARMENIA	13
22	Huesca	Europa	02	Resto de Europa	154	RUSIA	21
22	Huesca	Europa	02	Resto de Europa	155	YUGOSLAVIA	1
22	Huesca	África	03	Magreb	203	ARGELIA	476
22	Huesca	África	03	Magreb	228	MARRUECOS	841
22	Huesca	África	03	Magreb	230	MAURITANIA	86
22	Huesca	África	03	Magreb	248	TUNEZ	2
22	Huesca	África	04	Resto de África	201	BURKINA FASO	17
22	Huesca	África	04	Resto de África	202	ANGOLA	5
22	Huesca	África	04	Resto de África	204	BENIN	2
22	Huesca	África	04	Resto de África	206	BURUNDI	1
22	Huesca	África	04	Resto de África	207	CABO VERDE	5
22	Huesca	África	04	Resto de África	208	CAMERUN	10
22	Huesca	África	04	Resto de África	209	COMORES	1
22	Huesca	África	04	Resto de África	210	CONGO	1
22	Huesca	África	04	Resto de África	211	COSTA DE MARFIL	12
22	Huesca	África	04	Resto de África	213	EGIPTO	1
22	Huesca	África	04	Resto de África	215	GABON	1
22	Huesca	África	04	Resto de África	216	GAMBIA	344
22	Huesca	África	04	Resto de África	217	GHANA	37
22	Huesca	África	04	Resto de África	218	GUINEA	122
22	Huesca	África	04	Resto de África	219	GUINEA-BISSAU	20
22	Huesca	África	04	Resto de África	220	GUINEA ECUATORIAL	10
22	Huesca	África	04	Resto de África	221	KENIA	12
22	Huesca	África	04	Resto de África	223	LIBERIA	3
