Año	Código de la provincia	Provincia	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuya gestión se lleva por el titular de la misma	Explotaciones cuya gestión se lleva por un miembro de la familia, no titular	Explotaciones cuya gestión se lleva por otra persona
1989	22	Huesca	23425	22267	21791	429	47
1989	44	Teruel	25692	24635	24264	345	26
1989	50	Zaragoza	51614	50570	47973	2374	223
1999	22	Huesca	21318	19311	18509	749	53
1999	44	Teruel	17926	16779	15988	746	45
1999	50	Zaragoza	40777	38454	35811	2507	136
