Mes nombre	Año	Mes y año	Mes (código)	Comarca código	Comarca nombre	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Julio	2019	Julio 2019	201907	13	Campo de Borja	Hombres	Temporal	1	143	7611	53,22377622377622377622377622377622377622
Julio	2019	Julio 2019	201907	13	Campo de Borja	Mujeres	Temporal	0	74	0	0
Julio	2019	Julio 2019	201907	13	Campo de Borja	Mujeres	Temporal	1	144	6722	46,68055555555555555555555555555555555556
Julio	2019	Julio 2019	201907	14	Aranda	Hombres	Temporal	0	92	0	0
Julio	2019	Julio 2019	201907	14	Aranda	Hombres	Temporal	1	28	869	31,03571428571428571428571428571428571429
Julio	2019	Julio 2019	201907	14	Aranda	Mujeres	Temporal	0	34	0	0
Julio	2019	Julio 2019	201907	14	Aranda	Mujeres	Temporal	1	39	1381	35,41025641025641025641025641025641025641
Julio	2019	Julio 2019	201907	15	Ribera Alta del Ebro	Hombres	Temporal	0	335	0	0
Julio	2019	Julio 2019	201907	15	Ribera Alta del Ebro	Hombres	Temporal	1	1066	35792	33,57598499061913696060037523452157598499
Julio	2019	Julio 2019	201907	15	Ribera Alta del Ebro	Mujeres	Temporal	0	153	0	0
Julio	2019	Julio 2019	201907	15	Ribera Alta del Ebro	Mujeres	Temporal	1	640	22697	35,4640625
Julio	2019	Julio 2019	201907	16	Valdejalón	Hombres	Temporal	0	1172	0	0
Julio	2019	Julio 2019	201907	16	Valdejalón	Hombres	Temporal	1	933	28770	30,83601286173633440514469453376205787781
Julio	2019	Julio 2019	201907	16	Valdejalón	Mujeres	Temporal	0	572	0	0
Julio	2019	Julio 2019	201907	16	Valdejalón	Mujeres	Temporal	1	634	21683	34,20031545741324921135646687697160883281
Julio	2019	Julio 2019	201907	17	Central	Hombres	Temporal	0	4327	0	0
Julio	2019	Julio 2019	201907	17	Central	Hombres	Temporal	1	10530	464737	44,13456790123456790123456790123456790123
Julio	2019	Julio 2019	201907	17	Central	Mujeres	Temporal	0	3835	0	0
Julio	2019	Julio 2019	201907	17	Central	Mujeres	Temporal	1	10207	404731	39,65229744293132164201038502988145390418
Julio	2019	Julio 2019	201907	18	Ribera Baja del Ebro	Hombres	Temporal	0	160	0	0
Julio	2019	Julio 2019	201907	18	Ribera Baja del Ebro	Hombres	Temporal	1	168	6860	40,83333333333333333333333333333333333333
Julio	2019	Julio 2019	201907	18	Ribera Baja del Ebro	Mujeres	Temporal	0	46	0	0
Julio	2019	Julio 2019	201907	18	Ribera Baja del Ebro	Mujeres	Temporal	1	160	5148	32,175
Julio	2019	Julio 2019	201907	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Temporal	0	630	0	0
Julio	2019	Julio 2019	201907	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Temporal	1	370	17077	46,15405405405405405405405405405405405405
Julio	2019	Julio 2019	201907	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Temporal	0	254	0	0
Julio	2019	Julio 2019	201907	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Temporal	1	165	8098	49,07878787878787878787878787878787878788
Julio	2019	Julio 2019	201907	20	Comunidad de Calatayud	Hombres	Temporal	0	794	0	0
Julio	2019	Julio 2019	201907	20	Comunidad de Calatayud	Hombres	Temporal	1	503	16504	32,81113320079522862823061630218687872763
Julio	2019	Julio 2019	201907	20	Comunidad de Calatayud	Mujeres	Temporal	0	450	0	0
Julio	2019	Julio 2019	201907	20	Comunidad de Calatayud	Mujeres	Temporal	1	381	13303	34,91601049868766404199475065616797900262
Julio	2019	Julio 2019	201907	21	Campo de Cariñena	Hombres	Temporal	0	288	0	0
Julio	2019	Julio 2019	201907	21	Campo de Cariñena	Hombres	Temporal	1	290	20719	71,44482758620689655172413793103448275862
Julio	2019	Julio 2019	201907	21	Campo de Cariñena	Mujeres	Temporal	0	204	0	0
Julio	2019	Julio 2019	201907	21	Campo de Cariñena	Mujeres	Temporal	1	144	5037	34,97916666666666666666666666666666666667
Julio	2019	Julio 2019	201907	22	Campo de Belchite	Hombres	Temporal	0	20	0	0
Julio	2019	Julio 2019	201907	22	Campo de Belchite	Hombres	Temporal	1	21	2566	122,190476190476190476190476190476190476
Julio	2019	Julio 2019	201907	22	Campo de Belchite	Mujeres	Temporal	0	10	0	0
Julio	2019	Julio 2019	201907	22	Campo de Belchite	Mujeres	Temporal	1	26	2107	81,03846153846153846153846153846153846154
Julio	2019	Julio 2019	201907	23	Bajo Martín	Hombres	Temporal	0	45	0	0
Julio	2019	Julio 2019	201907	23	Bajo Martín	Hombres	Temporal	1	41	3189	77,7804878048780487804878048780487804878
Julio	2019	Julio 2019	201907	23	Bajo Martín	Mujeres	Temporal	0	24	0	0
