Comarca código	Comarca nombre	Municipio estudio, código	Municipio estudio, nombre	Personas residentes viviendas familiares
15	Ribera Alta del Ebro	28079	Madrid	6
15	Ribera Alta del Ebro	08019	Barcelona	4
15	Ribera Alta del Ebro	46250	Valencia	4
15	Ribera Alta del Ebro	50031	Aranda de Moncayo	4
16	Valdejalón	50297	Zaragoza	408
16	Valdejalón	28079	Madrid	10
16	Valdejalón	22125	Huesca	9
16	Valdejalón	50204	Pedrola	6
16	Valdejalón	08019	Barcelona	5
16	Valdejalón	37274	Salamanca	5
16	Valdejalón	50067	Calatayud	5
16	Valdejalón	44216	Teruel	4
16	Valdejalón	46250	Valencia	4
16	Valdejalón	25120	Lleida	3
17	D.C. Zaragoza	50025	Almunia de Doña Godina (La)	1167
17	D.C. Zaragoza	22125	Huesca	653
17	D.C. Zaragoza	28079	Madrid	517
17	D.C. Zaragoza	31201	Pamplona/Iruña	240
17	D.C. Zaragoza	08019	Barcelona	178
17	D.C. Zaragoza	50067	Calatayud	161
17	D.C. Zaragoza	46250	Valencia	128
17	D.C. Zaragoza	44216	Teruel	104
17	D.C. Zaragoza	37274	Salamanca	63
17	D.C. Zaragoza	25120	Lleida	36
18	Ribera Baja del Ebro	50297	Zaragoza	257
18	Ribera Baja del Ebro	50115	Fuentes de Ebro	117
18	Ribera Baja del Ebro	22125	Huesca	9
18	Ribera Baja del Ebro	28079	Madrid	4
18	Ribera Baja del Ebro	46250	Valencia	3
18	Ribera Baja del Ebro	50025	Almunia de Doña Godina (La)	3
18	Ribera Baja del Ebro	25120	Lleida	2
18	Ribera Baja del Ebro	31201	Pamplona/Iruña	2
18	Ribera Baja del Ebro	43148	Tarragona	2
18	Ribera Baja del Ebro	44013	Alcañiz	2
18	Ribera Baja del Ebro	44216	Teruel	2
18	Ribera Baja del Ebro	50074	Caspe	2
18	Ribera Baja del Ebro	50298	Zuera	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	50297	Zaragoza	217
19	Bajo Aragón-Caspe / Baix Aragó-Casp	22125	Huesca	24
19	Bajo Aragón-Caspe / Baix Aragó-Casp	44013	Alcañiz	24
19	Bajo Aragón-Caspe / Baix Aragó-Casp	08019	Barcelona	12
19	Bajo Aragón-Caspe / Baix Aragó-Casp	46250	Valencia	8
19	Bajo Aragón-Caspe / Baix Aragó-Casp	43148	Tarragona	7
19	Bajo Aragón-Caspe / Baix Aragó-Casp	50025	Almunia de Doña Godina (La)	7
19	Bajo Aragón-Caspe / Baix Aragó-Casp	28079	Madrid	5
19	Bajo Aragón-Caspe / Baix Aragó-Casp	50165	Mequinenza	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	22130	Jaca	3
19	Bajo Aragón-Caspe / Baix Aragó-Casp	37274	Salamanca	3
19	Bajo Aragón-Caspe / Baix Aragó-Casp	44216	Teruel	3
20	Comunidad de Calatayud	50297	Zaragoza	795
20	Comunidad de Calatayud	50025	Almunia de Doña Godina (La)	129
20	Comunidad de Calatayud	22125	Huesca	38
20	Comunidad de Calatayud	28079	Madrid	36
20	Comunidad de Calatayud	44216	Teruel	32
20	Comunidad de Calatayud	50126	Illueca	15
20	Comunidad de Calatayud	46250	Valencia	12
20	Comunidad de Calatayud	40194	Segovia	6
20	Comunidad de Calatayud	42025	Arcos de Jalón	6
20	Comunidad de Calatayud	31201	Pamplona/Iruña	5
20	Comunidad de Calatayud	37274	Salamanca	5
20	Comunidad de Calatayud	42173	Soria	5
21	Campo de Cariñena	50297	Zaragoza	221
21	Campo de Cariñena	50025	Almunia de Doña Godina (La)	47
21	Campo de Cariñena	22125	Huesca	5
21	Campo de Cariñena	31201	Pamplona/Iruña	4
21	Campo de Cariñena	28079	Madrid	3
21	Campo de Cariñena	44216	Teruel	2
21	Campo de Cariñena	50066	Cadrete	2
21	Campo de Cariñena	50067	Calatayud	2
21	Campo de Cariñena	16078	Cuenca	1
21	Campo de Cariñena	22130	Jaca	1
21	Campo de Cariñena	31054	Bertizarana	1
21	Campo de Cariñena	31250	Bera/Vera de Bidasoa	1
21	Campo de Cariñena	43148	Tarragona	1
21	Campo de Cariñena	46250	Valencia	1
21	Campo de Cariñena	48054	Leioa	1
21	Campo de Cariñena	50214	Pomer	1
22	Campo de Belchite	50297	Zaragoza	132
22	Campo de Belchite	50115	Fuentes de Ebro	17
22	Campo de Belchite	22125	Huesca	2
22	Campo de Belchite	28079	Madrid	2
22	Campo de Belchite	31201	Pamplona/Iruña	2
22	Campo de Belchite	50025	Almunia de Doña Godina (La)	2
22	Campo de Belchite	50089	Cuarte de Huerva	2
22	Campo de Belchite	16078	Cuenca	1
22	Campo de Belchite	19044	Atienza	1
22	Campo de Belchite	37274	Salamanca	1
23	Bajo Martín	50297	Zaragoza	168
23	Bajo Martín	44013	Alcañiz	87
23	Bajo Martín	22125	Huesca	14
23	Bajo Martín	44025	Andorra	9
23	Bajo Martín	44216	Teruel	7
23	Bajo Martín	46250	Valencia	4
23	Bajo Martín	50074	Caspe	3
23	Bajo Martín	50025	Almunia de Doña Godina (La)	2
23	Bajo Martín	12040	Castellón de la Plana/Castelló de la Plana	1
23	Bajo Martín	31201	Pamplona/Iruña	1
23	Bajo Martín	37046	Béjar	1
23	Bajo Martín	44051	Calanda	1
23	Bajo Martín	44238	Utrillas	1
23	Bajo Martín	45165	Talavera de la Reina	1
23	Bajo Martín	46190	Paterna	1
23	Bajo Martín	50067	Calatayud	1
23	Bajo Martín	50095	Ejea de los Caballeros	1
24	Campo de Daroca	50297	Zaragoza	140
24	Campo de Daroca	50025	Almunia de Doña Godina (La)	10
24	Campo de Daroca	50073	Cariñena	7
24	Campo de Daroca	44216	Teruel	6
24	Campo de Daroca	22125	Huesca	4
24	Campo de Daroca	28079	Madrid	4
24	Campo de Daroca	50067	Calatayud	4
24	Campo de Daroca	19190	Molina de Aragón	3
24	Campo de Daroca	44050	Calamocha	3
24	Campo de Daroca	46250	Valencia	3
25	Jiloca	50297	Zaragoza	289
25	Jiloca	44216	Teruel	103
25	Jiloca	46250	Valencia	47
25	Jiloca	50025	Almunia de Doña Godina (La)	13
25	Jiloca	22125	Huesca	10
25	Jiloca	28079	Madrid	9
25	Jiloca	31201	Pamplona/Iruña	5
25	Jiloca	12040	Castellón de la Plana/Castelló de la Plana	4
25	Jiloca	46131	Gandia	3
25	Jiloca	43148	Tarragona	2
25	Jiloca	46078	Burjassot	2
25	Jiloca	50067	Calatayud	2
25	Jiloca	50094	Daroca	2
26	Cuencas Mineras	50297	Zaragoza	174
26	Cuencas Mineras	44216	Teruel	60
26	Cuencas Mineras	46250	Valencia	11
26	Cuencas Mineras	50025	Almunia de Doña Godina (La)	9
26	Cuencas Mineras	44013	Alcañiz	3
26	Cuencas Mineras	22125	Huesca	2
26	Cuencas Mineras	44025	Andorra	2
26	Cuencas Mineras	50165	Mequinenza	2
26	Cuencas Mineras	08113	Manresa	1
26	Cuencas Mineras	12040	Castellón de la Plana/Castelló de la Plana	1
26	Cuencas Mineras	25120	Lleida	1
26	Cuencas Mineras	28013	Aranjuez	1
26	Cuencas Mineras	31201	Pamplona/Iruña	1
26	Cuencas Mineras	44014	Alcorisa	1
26	Cuencas Mineras	46078	Burjassot	1
26	Cuencas Mineras	46135	Godella	1
27	Andorra-Sierra de Arcos	50297	Zaragoza	270
27	Andorra-Sierra de Arcos	44216	Teruel	43
27	Andorra-Sierra de Arcos	44013	Alcañiz	18
27	Andorra-Sierra de Arcos	46250	Valencia	12
27	Andorra-Sierra de Arcos	22125	Huesca	10
27	Andorra-Sierra de Arcos	50025	Almunia de Doña Godina (La)	10
27	Andorra-Sierra de Arcos	28079	Madrid	7
27	Andorra-Sierra de Arcos	44014	Alcorisa	5
27	Andorra-Sierra de Arcos	18087	Granada	4
27	Andorra-Sierra de Arcos	25120	Lleida	4
28	Bajo Aragón	50297	Zaragoza	514
28	Bajo Aragón	44216	Teruel	79
28	Bajo Aragón	22125	Huesca	41
28	Bajo Aragón	44025	Andorra	31
28	Bajo Aragón	46250	Valencia	27
28	Bajo Aragón	08019	Barcelona	18
28	Bajo Aragón	28079	Madrid	18
28	Bajo Aragón	50025	Almunia de Doña Godina (La)	13
28	Bajo Aragón	25120	Lleida	12
28	Bajo Aragón	50074	Caspe	10
29	Comunidad de Teruel	50297	Zaragoza	364
29	Comunidad de Teruel	46250	Valencia	203
29	Comunidad de Teruel	28079	Madrid	53
29	Comunidad de Teruel	22125	Huesca	35
29	Comunidad de Teruel	12040	Castellón de la Plana/Castelló de la Plana	18
29	Comunidad de Teruel	50025	Almunia de Doña Godina (La)	14
29	Comunidad de Teruel	08019	Barcelona	8
29	Comunidad de Teruel	37274	Salamanca	6
29	Comunidad de Teruel	03065	Elche/Elx	5
29	Comunidad de Teruel	31201	Pamplona/Iruña	5
29	Comunidad de Teruel	46078	Burjassot	5
29	Comunidad de Teruel	46131	Gandia	5
30	Maestrazgo	44216	Teruel	50
30	Maestrazgo	50297	Zaragoza	30
30	Maestrazgo	12040	Castellón de la Plana/Castelló de la Plana	19
30	Maestrazgo	44013	Alcañiz	17
30	Maestrazgo	46250	Valencia	5
30	Maestrazgo	46213	Requena	4
30	Maestrazgo	08019	Barcelona	3
30	Maestrazgo	44051	Calanda	2
30	Maestrazgo	50025	Almunia de Doña Godina (La)	2
30	Maestrazgo	12080	Morella	1
30	Maestrazgo	44025	Andorra	1
30	Maestrazgo	46131	Gandia	1
31	Sierra de Albarracín	44216	Teruel	107
31	Sierra de Albarracín	50297	Zaragoza	26
31	Sierra de Albarracín	46250	Valencia	12
31	Sierra de Albarracín	50025	Almunia de Doña Godina (La)	6
31	Sierra de Albarracín	44076	Cella	4
31	Sierra de Albarracín	28079	Madrid	3
31	Sierra de Albarracín	12126	Vall d'Uixó (la)	1
31	Sierra de Albarracín	17160	Sant Feliu de Guíxols	1
31	Sierra de Albarracín	22125	Huesca	1
31	Sierra de Albarracín	23024	Carolina (La)	1
31	Sierra de Albarracín	23094	Vilches	1
31	Sierra de Albarracín	25120	Lleida	1
31	Sierra de Albarracín	31201	Pamplona/Iruña	1
31	Sierra de Albarracín	44013	Alcañiz	1
31	Sierra de Albarracín	44044	Bordón	1
31	Sierra de Albarracín	44153	Monreal del Campo	1
31	Sierra de Albarracín	46230	Silla	1
32	Gúdar-Javalambre	44216	Teruel	143
32	Gúdar-Javalambre	46250	Valencia	66
32	Gúdar-Javalambre	12040	Castellón de la Plana/Castelló de la Plana	13
32	Gúdar-Javalambre	50297	Zaragoza	13
32	Gúdar-Javalambre	12028	Benicasim/Benicàssim	3
32	Gúdar-Javalambre	08019	Barcelona	2
32	Gúdar-Javalambre	22125	Huesca	2
32	Gúdar-Javalambre	46013	Alboraya	2
32	Gúdar-Javalambre	46094	Catarroja	2
32	Gúdar-Javalambre	46109	Cheste	2
32	Gúdar-Javalambre	46131	Gandia	2
32	Gúdar-Javalambre	50025	Almunia de Doña Godina (La)	2
33	Matarraña / Matarranya	50297	Zaragoza	127
33	Matarraña / Matarranya	44013	Alcañiz	47
33	Matarraña / Matarranya	08019	Barcelona	26
33	Matarraña / Matarranya	44216	Teruel	18
33	Matarraña / Matarranya	22125	Huesca	12
33	Matarraña / Matarranya	43148	Tarragona	11
33	Matarraña / Matarranya	43155	Tortosa	8
33	Matarraña / Matarranya	12040	Castellón de la Plana/Castelló de la Plana	7
33	Matarraña / Matarranya	46250	Valencia	5
33	Matarraña / Matarranya	43123	Reus	4
33	Matarraña / Matarranya	44025	Andorra	4
