Comarca código	Comarca nombre	Municipio estudio, código	Municipio estudio, nombre	Personas residentes viviendas familiares
01	La Jacetania	50297	Zaragoza	314
01	La Jacetania	22125	Huesca	113
01	La Jacetania	28079	Madrid	38
01	La Jacetania	31201	Pamplona/Iruña	36
01	La Jacetania	22199	Sabiñánigo	34
01	La Jacetania	37274	Salamanca	9
01	La Jacetania	50025	Almunia de Doña Godina (La)	9
01	La Jacetania	08019	Barcelona	8
01	La Jacetania	20069	Donostia-San Sebastián	6
01	La Jacetania	46250	Valencia	6
02	Alto Gállego	50297	Zaragoza	258
02	Alto Gállego	22125	Huesca	121
02	Alto Gállego	22130	Jaca	31
02	Alto Gállego	31201	Pamplona/Iruña	19
02	Alto Gállego	28079	Madrid	17
02	Alto Gállego	50025	Almunia de Doña Godina (La)	13
02	Alto Gállego	08019	Barcelona	9
02	Alto Gállego	46250	Valencia	7
02	Alto Gállego	22244	Valle de Lierp	4
02	Alto Gállego	33044	Oviedo	3
02	Alto Gállego	37274	Salamanca	3
02	Alto Gállego	44216	Teruel	3
02	Alto Gállego	46078	Burjassot	3
03	Sobrarbe	50297	Zaragoza	95
03	Sobrarbe	22125	Huesca	88
03	Sobrarbe	22048	Barbastro	15
03	Sobrarbe	08019	Barcelona	7
03	Sobrarbe	28079	Madrid	7
03	Sobrarbe	25120	Lleida	6
03	Sobrarbe	22130	Jaca	4
03	Sobrarbe	22158	Monzón	2
03	Sobrarbe	37274	Salamanca	2
03	Sobrarbe	03018	Altea	1
03	Sobrarbe	08077	Esplugues de Llobregat	1
03	Sobrarbe	08262	Sant Vicenç de Castellet	1
03	Sobrarbe	08298	Vic	1
03	Sobrarbe	22115	Grado (El)	1
03	Sobrarbe	22117	Graus	1
03	Sobrarbe	22199	Sabiñánigo	1
03	Sobrarbe	26089	Logroño	1
03	Sobrarbe	31201	Pamplona/Iruña	1
03	Sobrarbe	33044	Oviedo	1
03	Sobrarbe	34120	Palencia	1
03	Sobrarbe	44216	Teruel	1
03	Sobrarbe	48020	Bilbao	1
04	La Ribagorza	50297	Zaragoza	137
04	La Ribagorza	22125	Huesca	132
04	La Ribagorza	08019	Barcelona	59
04	La Ribagorza	25120	Lleida	42
04	La Ribagorza	22048	Barbastro	21
04	La Ribagorza	25173	Pont de Suert (El)	13
04	La Ribagorza	50025	Almunia de Doña Godina (La)	6
04	La Ribagorza	08205	Sant Cugat del Vallès	4
04	La Ribagorza	28079	Madrid	4
04	La Ribagorza	43148	Tarragona	4
05	Cinco Villas	50297	Zaragoza	656
05	Cinco Villas	22125	Huesca	88
05	Cinco Villas	50025	Almunia de Doña Godina (La)	44
05	Cinco Villas	31201	Pamplona/Iruña	31
05	Cinco Villas	28079	Madrid	19
05	Cinco Villas	44216	Teruel	13
05	Cinco Villas	31216	Sangüesa/Zangoza	11
05	Cinco Villas	50204	Pedrola	10
05	Cinco Villas	37274	Salamanca	8
05	Cinco Villas	46250	Valencia	8
06	Hoya de Huesca / Plana de Uesca	50297	Zaragoza	1037
06	Hoya de Huesca / Plana de Uesca	28079	Madrid	85
06	Hoya de Huesca / Plana de Uesca	08019	Barcelona	79
06	Hoya de Huesca / Plana de Uesca	31201	Pamplona/Iruña	63
06	Hoya de Huesca / Plana de Uesca	25120	Lleida	41
06	Hoya de Huesca / Plana de Uesca	50025	Almunia de Doña Godina (La)	39
06	Hoya de Huesca / Plana de Uesca	37274	Salamanca	37
06	Hoya de Huesca / Plana de Uesca	46250	Valencia	24
06	Hoya de Huesca / Plana de Uesca	22048	Barbastro	20
06	Hoya de Huesca / Plana de Uesca	40194	Segovia	19
06	Hoya de Huesca / Plana de Uesca	50298	Zuera	19
07	Somontano de Barbastro	50297	Zaragoza	328
07	Somontano de Barbastro	22125	Huesca	186
07	Somontano de Barbastro	08019	Barcelona	48
07	Somontano de Barbastro	28079	Madrid	26
07	Somontano de Barbastro	25120	Lleida	25
07	Somontano de Barbastro	31201	Pamplona/Iruña	23
07	Somontano de Barbastro	22158	Monzón	19
07	Somontano de Barbastro	50025	Almunia de Doña Godina (La)	14
07	Somontano de Barbastro	44216	Teruel	11
07	Somontano de Barbastro	37274	Salamanca	8
08	Cinca Medio	50297	Zaragoza	277
08	Cinca Medio	22125	Huesca	149
08	Cinca Medio	08019	Barcelona	67
08	Cinca Medio	25120	Lleida	64
08	Cinca Medio	22048	Barbastro	23
08	Cinca Medio	22061	Binéfar	22
08	Cinca Medio	50025	Almunia de Doña Godina (La)	16
08	Cinca Medio	28079	Madrid	10
08	Cinca Medio	31201	Pamplona/Iruña	10
08	Cinca Medio	44216	Teruel	6
09	La Litera / La Llitera	25120	Lleida	245
09	La Litera / La Llitera	50297	Zaragoza	139
09	La Litera / La Llitera	08019	Barcelona	123
09	La Litera / La Llitera	22125	Huesca	55
09	La Litera / La Llitera	22158	Monzón	31
09	La Litera / La Llitera	25021	Almenar	11
09	La Litera / La Llitera	08266	Cerdanyola del Vallès	9
09	La Litera / La Llitera	25019	Almacelles	6
09	La Litera / La Llitera	43148	Tarragona	6
09	La Litera / La Llitera	08279	Terrassa	5
09	La Litera / La Llitera	22048	Barbastro	5
10	Los Monegros	50297	Zaragoza	463
10	Los Monegros	22125	Huesca	335
10	Los Monegros	50074	Caspe	15
10	Los Monegros	22112	Fraga	13
10	Los Monegros	28079	Madrid	12
10	Los Monegros	50025	Almunia de Doña Godina (La)	12
10	Los Monegros	08019	Barcelona	11
10	Los Monegros	22048	Barbastro	10
10	Los Monegros	25120	Lleida	10
10	Los Monegros	44216	Teruel	10
11	Bajo Cinca / Baix Cinca	25120	Lleida	293
11	Bajo Cinca / Baix Cinca	50297	Zaragoza	136
11	Bajo Cinca / Baix Cinca	08019	Barcelona	130
11	Bajo Cinca / Baix Cinca	22125	Huesca	57
11	Bajo Cinca / Baix Cinca	22158	Monzón	34
11	Bajo Cinca / Baix Cinca	43148	Tarragona	19
11	Bajo Cinca / Baix Cinca	22048	Barbastro	9
11	Bajo Cinca / Baix Cinca	22017	Alcolea de Cinca	8
11	Bajo Cinca / Baix Cinca	08279	Terrassa	6
11	Bajo Cinca / Baix Cinca	31201	Pamplona/Iruña	6
11	Bajo Cinca / Baix Cinca	50025	Almunia de Doña Godina (La)	6
12	Tarazona y el Moncayo	50297	Zaragoza	297
12	Tarazona y el Moncayo	42173	Soria	20
12	Tarazona y el Moncayo	22125	Huesca	19
12	Tarazona y el Moncayo	31232	Tudela	13
12	Tarazona y el Moncayo	31201	Pamplona/Iruña	12
12	Tarazona y el Moncayo	50025	Almunia de Doña Godina (La)	12
12	Tarazona y el Moncayo	28079	Madrid	8
12	Tarazona y el Moncayo	37274	Salamanca	8
12	Tarazona y el Moncayo	08019	Barcelona	4
12	Tarazona y el Moncayo	26089	Logroño	4
13	Campo de Borja	50297	Zaragoza	251
13	Campo de Borja	31232	Tudela	26
13	Campo de Borja	50025	Almunia de Doña Godina (La)	25
13	Campo de Borja	50204	Pedrola	16
13	Campo de Borja	22125	Huesca	11
13	Campo de Borja	50251	Tarazona	7
13	Campo de Borja	28079	Madrid	6
13	Campo de Borja	31201	Pamplona/Iruña	5
13	Campo de Borja	15030	Coruña (A)	3
13	Campo de Borja	46250	Valencia	3
14	Aranda	50297	Zaragoza	142
14	Aranda	50025	Almunia de Doña Godina (La)	21
14	Aranda	22125	Huesca	5
14	Aranda	50067	Calatayud	5
14	Aranda	28079	Madrid	2
14	Aranda	19260	Sotillo (El)	1
14	Aranda	22129	Isábena	1
14	Aranda	26057	Daroca de Rioja	1
14	Aranda	26079	Huércanos	1
14	Aranda	28005	Alcalá de Henares	1
14	Aranda	31201	Pamplona/Iruña	1
14	Aranda	31212	Sada	1
14	Aranda	42021	Almazul	1
14	Aranda	42173	Soria	1
14	Aranda	43172	Vilaverd	1
15	Ribera Alta del Ebro	50297	Zaragoza	553
15	Ribera Alta del Ebro	50025	Almunia de Doña Godina (La)	29
15	Ribera Alta del Ebro	50252	Tauste	28
15	Ribera Alta del Ebro	50272	Utebo	20
15	Ribera Alta del Ebro	22125	Huesca	16
15	Ribera Alta del Ebro	31201	Pamplona/Iruña	7
15	Ribera Alta del Ebro	44216	Teruel	7
