Municipio código	Municipio nombre	Personas	Sexo	Jefe explotación
22088	Castillazuelo	3	Mujeres	1
22089	Castillonroy	67	Hombres	1
22089	Castillonroy	10	Mujeres	1
22090	Colungo	36	Hombres	1
22090	Colungo	7	Mujeres	1
22094	Chalamera	27	Hombres	1
22094	Chalamera	1	Mujeres	1
22095	Chía	11	Hombres	1
22095	Chía	1	Mujeres	1
22096	Chimillas	11	Hombres	1
22096	Chimillas	1	Mujeres	1
22099	Esplús	101	Hombres	1
22099	Esplús	16	Mujeres	1
22102	Estada	28	Hombres	1
22102	Estada	3	Mujeres	1
22103	Estadilla	117	Hombres	1
22103	Estadilla	14	Mujeres	1
22105	Estopiñán del Castillo	66	Hombres	1
22105	Estopiñán del Castillo	19	Mujeres	1
22106	Fago	1	Mujeres	1
22107	Fanlo	27	Hombres	1
22107	Fanlo	4	Mujeres	1
22109	Fiscal	33	Hombres	1
22109	Fiscal	3	Mujeres	1
22110	Fonz	161	Hombres	1
22110	Fonz	19	Mujeres	1
22111	Foradada del Toscar	54	Hombres	1
22111	Foradada del Toscar	15	Mujeres	1
22112	Fraga	728	Hombres	1
22112	Fraga	103	Mujeres	1
22113	Fueva (La)	111	Hombres	1
22113	Fueva (La)	17	Mujeres	1
22114	Gistaín	26	Hombres	1
22114	Gistaín	8	Mujeres	1
22115	Grado (El)	89	Hombres	1
22115	Grado (El)	15	Mujeres	1
22116	Grañén	190	Hombres	1
22116	Grañén	16	Mujeres	1
22117	Graus	233	Hombres	1
22117	Graus	50	Mujeres	1
22119	Gurrea de Gállego	197	Hombres	1
22119	Gurrea de Gállego	14	Mujeres	1
22122	Hoz de Jaca	3	Hombres	1
22122	Hoz de Jaca	2	Mujeres	1
22124	Huerto	76	Hombres	1
22124	Huerto	11	Mujeres	1
22125	Huesca	280	Hombres	1
22125	Huesca	36	Mujeres	1
22126	Ibieca	22	Hombres	1
22126	Ibieca	1	Mujeres	1
22127	Igriés	28	Hombres	1
22127	Igriés	3	Mujeres	1
22128	Ilche	66	Hombres	1
22128	Ilche	22	Mujeres	1
22129	Isábena	50	Hombres	1
22129	Isábena	3	Mujeres	1
22130	Jaca	185	Hombres	1
22130	Jaca	21	Mujeres	1
22131	Jasa	5	Hombres	1
22131	Jasa	1	Mujeres	1
22133	Labuerda	8	Hombres	1
22133	Labuerda	1	Mujeres	1
22135	Laluenga	51	Hombres	1
22135	Laluenga	7	Mujeres	1
22136	Lalueza	177	Hombres	1
22136	Lalueza	19	Mujeres	1
22137	Lanaja	197	Hombres	1
22137	Lanaja	37	Mujeres	1
22139	Laperdiguera	18	Hombres	1
22139	Laperdiguera	3	Mujeres	1
22141	Lascellas-Ponzano	46	Hombres	1
22141	Lascellas-Ponzano	2	Mujeres	1
22142	Lascuarre	28	Hombres	1
22142	Lascuarre	1	Mujeres	1
22143	Laspaúles	36	Hombres	1
22143	Laspaúles	2	Mujeres	1
22144	Laspuña	28	Hombres	1
22144	Laspuña	4	Mujeres	1
22149	Loarre	72	Hombres	1
22149	Loarre	9	Mujeres	1
22150	Loporzano	105	Hombres	1
22150	Loporzano	11	Mujeres	1
22151	Loscorrales	31	Hombres	1
22151	Loscorrales	6	Mujeres	1
22155	Monesma y Cajigar	30	Hombres	1
22155	Monesma y Cajigar	2	Mujeres	1
22156	Monflorite-Lascasas	43	Hombres	1
22156	Monflorite-Lascasas	2	Mujeres	1
22157	Montanuy	85	Hombres	1
22157	Montanuy	13	Mujeres	1
22158	Monzón	404	Hombres	1
22158	Monzón	73	Mujeres	1
22160	Naval	32	Hombres	1
22160	Naval	6	Mujeres	1
22162	Novales	22	Hombres	1
22162	Novales	2	Mujeres	1
22163	Nueno	59	Hombres	1
22163	Nueno	9	Mujeres	1
22164	Olvena	16	Hombres	1
22164	Olvena	7	Mujeres	1
22165	Ontiñena	115	Hombres	1
22165	Ontiñena	23	Mujeres	1
22167	Osso de Cinca	113	Hombres	1
22167	Osso de Cinca	11	Mujeres	1
22168	Palo	11	Hombres	1
22168	Palo	1	Mujeres	1
22170	Panticosa	19	Hombres	1
22172	Peñalba	114	Hombres	1
22172	Peñalba	23	Mujeres	1
22173	Peñas de Riglos (Las)	46	Hombres	1
22173	Peñas de Riglos (Las)	4	Mujeres	1
22174	Peralta de Alcofea	116	Hombres	1
22174	Peralta de Alcofea	25	Mujeres	1
22175	Peralta de Calasanz	90	Hombres	1
22175	Peralta de Calasanz	16	Mujeres	1
