Año	Residencia provincia código	Residencia provincia nombre	Relación lugar de residencia y nacimiento	Sexo	Extranjeros
1998	22	Huesca	1 - Misma CA, misma provincia y mismo municipio	Hombres	21
1998	22	Huesca	1 - Misma CA, misma provincia y mismo municipio	Mujeres	21
1998	22	Huesca	2 - Misma CA, misma provincia y distinto municipio	Hombres	12
1998	22	Huesca	2 - Misma CA, misma provincia y distinto municipio	Mujeres	8
1998	22	Huesca	3 - Misma CA y distinta provincia	Hombres	2
1998	22	Huesca	4 - Distinta CA	Hombres	13
1998	22	Huesca	4 - Distinta CA	Mujeres	11
1998	22	Huesca	5 - Nacidos en el extranjero	Hombres	623
1998	22	Huesca	5 - Nacidos en el extranjero	Mujeres	531
1998	44	Teruel	1 - Misma CA, misma provincia y mismo municipio	Hombres	29
1998	44	Teruel	1 - Misma CA, misma provincia y mismo municipio	Mujeres	17
1998	44	Teruel	2 - Misma CA, misma provincia y distinto municipio	Hombres	3
1998	44	Teruel	2 - Misma CA, misma provincia y distinto municipio	Mujeres	4
1998	44	Teruel	3 - Misma CA y distinta provincia	Hombres	27
1998	44	Teruel	3 - Misma CA y distinta provincia	Mujeres	8
1998	44	Teruel	4 - Distinta CA	Hombres	8
1998	44	Teruel	4 - Distinta CA	Mujeres	11
1998	44	Teruel	5 - Nacidos en el extranjero	Hombres	273
1998	44	Teruel	5 - Nacidos en el extranjero	Mujeres	231
1998	50	Zaragoza	1 - Misma CA, misma provincia y mismo municipio	Hombres	115
1998	50	Zaragoza	1 - Misma CA, misma provincia y mismo municipio	Mujeres	110
1998	50	Zaragoza	2 - Misma CA, misma provincia y distinto municipio	Hombres	56
1998	50	Zaragoza	2 - Misma CA, misma provincia y distinto municipio	Mujeres	52
1998	50	Zaragoza	3 - Misma CA y distinta provincia	Hombres	7
1998	50	Zaragoza	3 - Misma CA y distinta provincia	Mujeres	10
1998	50	Zaragoza	4 - Distinta CA	Hombres	58
1998	50	Zaragoza	4 - Distinta CA	Mujeres	61
1998	50	Zaragoza	5 - Nacidos en el extranjero	Hombres	2870
1998	50	Zaragoza	5 - Nacidos en el extranjero	Mujeres	2524
1999	22	Huesca	1 - Misma CA, misma provincia y mismo municipio	Hombres	30
1999	22	Huesca	1 - Misma CA, misma provincia y mismo municipio	Mujeres	18
1999	22	Huesca	2 - Misma CA, misma provincia y distinto municipio	Hombres	8
1999	22	Huesca	2 - Misma CA, misma provincia y distinto municipio	Mujeres	9
1999	22	Huesca	3 - Misma CA y distinta provincia	Hombres	2
1999	22	Huesca	4 - Distinta CA	Hombres	18
1999	22	Huesca	4 - Distinta CA	Mujeres	13
1999	22	Huesca	5 - Nacidos en el extranjero	Hombres	739
1999	22	Huesca	5 - Nacidos en el extranjero	Mujeres	596
1999	44	Teruel	1 - Misma CA, misma provincia y mismo municipio	Hombres	38
1999	44	Teruel	1 - Misma CA, misma provincia y mismo municipio	Mujeres	17
1999	44	Teruel	2 - Misma CA, misma provincia y distinto municipio	Hombres	11
1999	44	Teruel	2 - Misma CA, misma provincia y distinto municipio	Mujeres	10
1999	44	Teruel	3 - Misma CA y distinta provincia	Hombres	27
1999	44	Teruel	3 - Misma CA y distinta provincia	Mujeres	7
1999	44	Teruel	4 - Distinta CA	Hombres	9
1999	44	Teruel	4 - Distinta CA	Mujeres	13
1999	44	Teruel	5 - Nacidos en el extranjero	Hombres	271
1999	44	Teruel	5 - Nacidos en el extranjero	Mujeres	235
1999	50	Zaragoza	1 - Misma CA, misma provincia y mismo municipio	Hombres	159
1999	50	Zaragoza	1 - Misma CA, misma provincia y mismo municipio	Mujeres	145
1999	50	Zaragoza	2 - Misma CA, misma provincia y distinto municipio	Hombres	55
1999	50	Zaragoza	2 - Misma CA, misma provincia y distinto municipio	Mujeres	50
1999	50	Zaragoza	3 - Misma CA y distinta provincia	Hombres	9
1999	50	Zaragoza	3 - Misma CA y distinta provincia	Mujeres	7
1999	50	Zaragoza	4 - Distinta CA	Hombres	58
