CCAA código	CCAA nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
02	Aragón	1477	a) No hay SAU
02	Aragón	8096	b) < 10% de la SAU en propiedad
02	Aragón	2522	c) >=10% a < 25%  de la SAU en propiedad
02	Aragón	3508	d) >=25% a < 50%  de la SAU en propiedad
02	Aragón	4653	e) >=50% a < 75%  de la SAU en propiedad
02	Aragón	2460	f) >= 75% a < 90%  de la SAU en propiedad
02	Aragón	30058	g) >= 90%  de la SAU en propiedad
