Año	Provincia código	Provincia nombre	Número de empresas	BALANCE	A) ACTIVO NO CORRIENTE	I Inmovilizado intangible	II Inmovilizado material	III Inversiones inmobiliarias	Otros activos comerciales no corrientes	Deudas comerciales no corrientes	B) ACTIVO CORRIENTE	I Activos no corrientes mantenidos para la venta	II Existencias	III Deudores comerciales y otras cuentas a cobrar	IV-VI Otros activos corrientes	VII Efectivo y otros activos líquidos equivalentes	TOTAL ACTIVO (A+B)	A) Patrimonio neto	A-1) Fondos propios	I Capital	II-IX,A-2,A-3 Otros fondos	B) PASIVO NO CORRIENTE	I Provisiones a largo plazo	II-III Deudas a largo plazo	VI Acreedores comerciales no corrientes	IV,V,VII Otros pasivos a largo plazo	C) PASIVO CORRIENTE	I Pasivos vinculados con activos no corrientes	II Provisiones a corto plazo	III-IV Deudas a corto plazo	V Acreedores comerciales y otras cuentas a pagar	VI-VII Otros pasivos a corto plazo	TOTAL PATRIMONIO NETO Y PASIVO	PYG	1 Importe neto de la cifra de negocios	2 Variación de existencias de productos terminados y en curso de fabricación	3 Trabajos realizados por la empresa para su activo	4 Aprovisionamientos	5 Otros ingresos de explotación	6 Gastos de personal	7 Otros gastos de explotación	8 Amortización del inmovilizado	9-13 Otros resultados de explotación	A) RESULTADO DE EXPLOTACIÓN	14 Ingresos financieros	15 Gastos financieros	16-18 Otros resultados financieros	B) RESULTADO FINANCIERO	C) RESULTADO ANTES DE IMPUESTOS	19 Impuestos sobre beneficios	D) RESULTADO DEL EJERCICIO	RATIOS	Fondo de maniobra	Ratio de liquidez	Ratio de tesorería	Ratio de calidad de la deuda	Ratio de autonomía financiera	Rentabilidad económica	Rentabilidad financiera
2011	22	Huesca	4234	 	594,865782947567	16,2833840340104	403,537880727444	45,432489844119	129,492944969296	0,119192725555031	618,276022201228	0,020507794048181	250,618106282475	216,936023382145	84,7499985829003	65,9512236655645	1213,14179026925	524,35942725555	509,568473547473	193,707374350496	330,652031648559	302,105653755314	2,17784104865376	295,141601794993	0,082102503542749	4,70410746339159	386,676826877657	0	0,702218941898914	151,785616910723	233,043819792159	1,1452602739726	1213,14185710912	 	1149,80823523855	3,69782664147378	4,50298441190364	-812,224396551724	25,5514128483703	-168,059926074634	-144,631498346717	-39,7158349078885	3,9283481341521	22,8574019839395	9,19276476145489	-16,5712810581011	-2,3167017005196	-9,69444922059518	13,1629610297591	-4,11998535663675	9,04298181388758	 	231,599195323571	159,894769798773	95,0760997495535	56,1391785868758	76,1284501274886	1,8841492533916	1,72457694929177
2011	44	Teruel	2376	 	923,903594276094	14,6421363636364	673,23396506734	39,5806186868687	194,94595496633	1,50178914141414	707,070278619529	0,140824915824916	234,480766414141	243,026603114478	159,763862373737	69,6581961279461	1630,97487584175	848,394158670034	803,975888468013	203,390218855219	645,003516414141	361,09911026936	7,56587542087542	343,634910774411	0	9,89832112794613	421,481156144781	0	4,16845454545455	168,436366582492	247,068128367003	1,80862247474747	1630,97487247475	 	993,36959006734	0,632936026936027	3,43486952861953	-642,731178030303	23,6694587542088	-198,171835858586	-140,627412878788	-38,7571868686869	9,36841456228956	10,1872441077441	21,8927508417508	-16,4303859427609	-3,51619234006734	1,94581228956229	12,133476010101	-2,73811994949495	9,39535185185185	 	285,589122474747	167,758455701077	112,092475482788	53,8578819621978	108,409858397971	0,624610731816849	1,10742769216849
2011	50	Zaragoza	15545	 	1438,49930511418	65,5422561595368	650,125727179157	193,819906786748	522,02685275008	6,98444593116758	1431,45665506594	1,07980939208749	606,978391572853	471,940214988742	231,449097780637	120,009134062399	2869,95595091669	1041,05260636861	1027,59449424252	437,827795754262	603,224801350917	831,364311933097	9,83661826954005	799,34694113863	1,49225828240592	20,6885539401737	997,538815632036	1,38070028948215	12,0717725313606	510,900988227726	468,297296108073	4,88810472820843	2869,95595741396	 	2117,791010743	-11,9831139916372	5,00307597298167	-1437,67450550016	42,4638336442586	-320,516510131875	-319,287072820843	-72,2165247346414	4,98669308459312	8,56708459311676	30,402803152139	-46,4051627532969	-19,2513452557092	-35,2530820842715	-26,6860679961402	-8,36086014795754	-35,0468600192988	 	433,917839433902	143,498842614858	82,542998220082	54,5430099931037	56,9222388369245	0,298509271209558	-3,3664830965218
2012	22	Huesca	4188	 	578,369750716332	16,6057010506208	390,693859360076	43,8988829990449	126,965035577841	0,20626193887297	588,525938156638	0	231,47044269341	203,332753342884	91,8367829512894	61,8858989971347	1166,89567956065	525,812153056351	512,486055157593	199,233812559694	326,578335959885	287,782829990449	1,69198400191022	281,844962273161	0,080851957975167	4,16503868194842	353,305880133715	0	0,554998328557784	131,637362225406	220,518625835721	0,594909025787966	1166,90086723973	 	1103,16043147087	-4,39683333333333	5,60241069723018	-780,798509789876	23,3161241642789	-158,765921919771	-137,179725644699	-38,0286669054441	7,44233142311366	20,351582617001	6,9511041069723	-16,5706986628462	-0,500636819484241	-10,1196463705826	10,2329629894938	-5,32264828080229	4,91030921680993	 	235,220058022923	166,576887408129	101,061277314766	55,1102951205127	82,0186262451126	1,74407901010171	0,933852363104984
2012	44	Teruel	2328	 	952,954340635739	13,8548303264605	666,040888745704	40,6510781786942	231,726987972509	0,680596219931271	676,051966494845	0,013487972508591	219,396252147766	233,608380584192	152,245145189003	70,7887169243986	1629,00588359107	858,73724871134	814,397494415808	213,093350085911	645,643889604811	389,320704037801	10,9118479381443	367,916321305842	0,000180841924399	10,491925257732	380,947917955326	0	4,97880369415808	147,505841065292	226,882110824742	1,58167998281787	1629,00588359107	 	942,348950601375	0,840153780068729	3,85499097938144	-646,518515463918	19,2912414089347	-150,172199312715	-133,570911512027	-35,4835498281787	6,98155025773196	7,5721675257732	21,4207607388316	-16,1161447594502	-3,84841580756014	1,45642053264605	9,02836726804124	-4,20027663230241	4,82808204467354	 	295,104048539519	177,465720280987	119,869993029111	49,4565021965448	111,485425238963	0,464833651127196	0,562230420529536
2012	50	Zaragoza	15110	 	1423,08947809398	64,8809647253475	600,862330046327	201,06442475182	542,274243679682	14,0075250165453	1272,57002435473	0,762745731303772	530,118302250165	444,497637657181	190,761452018531	106,429373064196	2695,65905929848	1050,867512045	1040,78152395764	469,749282395764	581,118210721377	762,836639245533	9,87724467240238	729,012869225678	1,60995651886168	22,3365675711449	881,954925281271	4,09848285903375	10,744062078094	411,888197882197	453,376305890139	1,84763050959629	2695,65905929848	 	1945,98745718068	-28,5774913302449	6,38327518199868	-1311,21032501655	43,3783995367306	-309,259257114494	-314,156318398412	-68,0412882859034	-26,9792810059563	-62,4751271343481	33,7706222369292	-48,3815764394441	-19,0735675711449	-33,6803600926539	-96,1555201853077	0,93624956982131	-95,2192041032429	 	390,615099073461	144,289689628853	84,0959601765782	53,621075417845	63,8906190127095	-2,31761976422221	-9,06100940526222
2013	22	Huesca	4400	 	586,141682954545	20,6826463636364	391,631067954545	43,0343361363636	130,550149772727	0,243490681818182	538,971376818182	0	201,6547975	185,83697	85,7774931818182	65,7020252272727	1125,11306136364	557,312913409091	545,030438181818	217,88649	339,426418636364	243,089357045455	2,77518022727273	236,074454318182	0,071576136363636	4,16814659090909	324,710795454545	0	1,31658704545455	123,306595909091	199,304267045455	0,783348409090909	1125,11306136364	 	1022,85190318182	2,10624	3,18985363636364	-715,333403181818	21,3783077272727	-148,2267675	-131,134236136364	-35,5484536363636	2,46858431818182	21,7522477272727	4,5725875	-12,7307720454545	-1,08522636363636	-9,24354568181818	12,5087059090909	-5,00935590909091	7,57959613636364	 	214,260581363636	165,985050193266	103,882129307373	57,1875146607231	98,1530052352515	1,93333883271331	1,36002521276587
2013	44	Teruel	2267	 	1044,33080855757	17,0790771945302	679,760812968681	43,0542730480812	303,423192324658	1,01347331274813	709,80639655933	0,132333480370534	234,127857962064	249,107215703573	111,001520070578	115,437521835024	1754,13721085135	938,72247110719	888,837875165417	233,830630348478	704,891837229819	408,848391707102	11,7757926775474	383,765128363476	0	13,3074684605205	406,566348478165	0	3,28886722540803	151,758373621526	249,960587560653	1,55852007057786	1754,13721085135	 	944,667483458315	-0,014101896779885	4,36946184384649	-632,147200264667	21,6067062196736	-152,606595941773	-138,696191001323	-35,7181420379356	6,01972783414204	17,4811601235112	18,4856285840318	-16,5710833700926	0,300483458314954	2,21554212615792	19,6967115130128	-2,47181473312748	17,2248985443317	 	303,240048081165	174,585624023295	116,966458092071	49,8600685567434	115,122087551901	0,996567430151431	1,8349298194615
2013	50	Zaragoza	14612	 	1444,90271126471	88,4232836025185	616,53670031481	190,474954968519	539,144044894607	10,3237351491924	1252,55568409526	1,83171119627703	450,043153298659	452,861046742404	232,82519853545	114,994326649329	2697,45839542842	1144,12013461538	1121,77644819327	502,851774842595	641,268348480701	711,920448398577	15,861585203942	672,681121338626	0,374155557076376	23,0035859567479	841,417820969067	0,0063546400219	13,1009544210238	360,803593484807	465,746114700246	1,76077456884752	2697,45839542842	 	2018,50055940323	-13,6392311798522	4,894720914317	-1342,1590530386	45,5019171913496	-309,3915242951	-323,287598891322	-63,0866975773337	2,2752675198467	19,6083925540652	23,500595537914	-38,6981031344101	6,25588762660827	-8,94166725978648	10,6667920202573	-15,6082672460991	-4,59436524774158	 	411,137863126198	148,862509549975	95,1584993772813	54,1683571159039	73,6555686020116	0,726921037495776	-0,401563184558941
