Provincia codigo	Provincia nombre	Total viviendas	Viviendas con calefacción	Viviendas con agua corriente	Viviendas con agua caliente central	Viviendas con evacuación de aguas residuales	Viviendas con cuarto de aseo con inodoro	Viviendas con disponibilidad de ducha o bañera	Viviendas con tendido telefónico	Viviendas con acceso a internet
22	Huesca	89179,9463662784	76337,6837163493	89115,0063152023	46701,0834784129	87370,4238154123	89010,448617601	88839,1650902371	85747,3100215743	44820,798124016
44	Teruel	56108,6627265971	42960,9860065044	56065,1641046096	31091,3989568802	54819,7022640938	55926,6019092522	55640,3749547973	52535,0545557688	24440,5648742399
50	Zaragoza	393581,849665256	339398,36801332	393113,212805226	152003,952182414	381780,727876133	392107,099896654	391852,018972903	377196,931557622	224943,107219369
