Mes y año	Mes (código)	Mes nombre	Año	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos	CCAA nombre
Octubre 2020	202010	Octubre	2020	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	200	19433	97,165	Aragón
Octubre 2020	202010	Octubre	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	2047	0	0	Aragón
Octubre 2020	202010	Octubre	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	652	26590	40,78220858895705521472392638036809815951	Aragón
Octubre 2020	202010	Octubre	2020	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	44	15571	353,886363636363636363636363636363636364	Aragón
Octubre 2020	202010	Octubre	2020	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	22	7936	360,727272727272727272727272727272727273	Aragón
Octubre 2020	202010	Octubre	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	12	0	0	Aragón
Octubre 2020	202010	Octubre	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	53	56625	1068,396226415094339622641509433962264151	Aragón
Octubre 2020	202010	Octubre	2020	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	19	18774	988,105263157894736842105263157894736842	Aragón
Octubre 2020	202010	Octubre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	3	0	0	Aragón
Octubre 2020	202010	Octubre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	16	18219	1138,6875	Aragón
Octubre 2020	202010	Octubre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	16	15142	946,375	Aragón
Octubre 2020	202010	Octubre	2020	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	25	9248	369,92	Aragón
Octubre 2020	202010	Octubre	2020	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	65	17068	262,584615384615384615384615384615384615	Aragón
Octubre 2020	202010	Octubre	2020	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	11	4202	382	Aragón
Octubre 2020	202010	Octubre	2020	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	46	10914	237,260869565217391304347826086956521739	Aragón
Octubre 2020	202010	Octubre	2020	Hombres	Temporal	Otros	8	Otros	Otros	0	12	0	0	Aragón
Octubre 2020	202010	Octubre	2020	Hombres	Temporal	Otros	8	Otros	Otros	1	20	20879	1043,95	Aragón
Octubre 2020	202010	Octubre	2020	Hombres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	1	180	180	Aragón
Octubre 2020	202010	Octubre	2020	Mujeres	Temporal	Otros	8	Otros	Otros	0	23	0	0	Aragón
Octubre 2020	202010	Octubre	2020	Mujeres	Temporal	Otros	8	Otros	Otros	1	12	11503	958,583333333333333333333333333333333333	Aragón
Octubre 2020	202010	Octubre	2020	Mujeres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	12	2343	195,25	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	8256	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	919	84779	92,25136017410228509249183895538628944505	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	5058	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	858	89062	103,801864801864801864801864801864801865	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	16	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	13052	450684	34,52988047808764940239043824701195219124	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	11	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	10732	408515	38,06513231457323891166604547148714125978	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	702	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	234	9392	40,13675213675213675213675213675213675214	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	2063	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	549	19016	34,63752276867030965391621129326047358834	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	39	14099	361,512820512820512820512820512820512821	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	19	6895	362,894736842105263157894736842105263158	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	25	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	80	84927	1061,5875	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	26	26282	1010,846153846153846153846153846153846154	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	0	1	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	1	360	360	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	16	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	29	28677	988,862068965517241379310344827586206897	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	19	17143	902,263157894736842105263157894736842105	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	0	2	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	2	720	360	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	65	23041	354,476923076923076923076923076923076923	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	99	26396	266,626262626262626262626262626262626263	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	18	7200	400	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	86	22244	258,651162790697674418604651162790697674	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Otros	8	Otros	Otros	0	5	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Otros	8	Otros	Otros	1	27	19211	711,518518518518518518518518518518518519	Aragón
Septiembre 2020	202009	Septiembre	2020	Hombres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	7	1800	257,142857142857142857142857142857142857	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Otros	8	Otros	Otros	0	1	0	0	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Otros	8	Otros	Otros	1	8	8496	1062	Aragón
Septiembre 2020	202009	Septiembre	2020	Mujeres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	12	2162	180,166666666666666666666666666666666667	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	7293	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	699	34548	49,42489270386266094420600858369098712446	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	3792	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	447	28582	63,94183445190156599552572706935123042506	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	3	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	9648	307565	31,87862769485903814262023217247097844113	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	12	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	7998	248227	31,03613403350837709427356839209802450613	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	486	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	209	6149	29,42105263157894736842105263157894736842	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	1460	0	0	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	605	18713	30,93057851239669421487603305785123966942	Aragón
Agosto 2020	202008	Agosto	2020	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	25	9015	360,6	Aragón
Agosto 2020	202008	Agosto	2020	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	14	5065	361,785714285714285714285714285714285714	Aragón
