Municipio código	Municipio nombre	Año	Votos	Siglas	Candidatura
44013	Alcañiz	2011	3824	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
22048	Barbastro	2008	3805	PP	PARTIDO POPULAR
50272	Utebo	2011	3796	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
22112	Fraga	2011	3722	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50095	Ejea de los Caballeros	2019	3722	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
44216	Teruel	2015	3687	TA	TIERRA ARAGONESA
50297	Zaragoza	2015	3615	UPyD	UNIÓN PROGRESO Y DEMOCRACIA
50067	Calatayud	2015	3590	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
22130	Jaca	2008	3496	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50095	Ejea de los Caballeros	2011	3402	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50095	Ejea de los Caballeros	2015	3344	ALTOARAGONenCOMUN	Alto Aragón en Común
22112	Fraga	2008	3334	PP	PARTIDO POPULAR
22125	Huesca	2019	3291	VOX	VOX
22158	Monzón	2008	3285	PP	PARTIDO POPULAR
50095	Ejea de los Caballeros	2016	3227	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22048	Barbastro	2016	3182	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50297	Zaragoza	2015	3139	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
22048	Barbastro	2015	3092	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
50067	Calatayud	2019	3088	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22112	Fraga	2008	3081	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50251	Tarazona	2011	3079	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
44216	Teruel	2015	3071	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
44216	Teruel	2016	3069	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN
50067	Calatayud	2011	3068	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50297	Zaragoza	2011	3063	EQUO	EQUO
44216	Teruel	2016	3039	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
50272	Utebo	2019	2986	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22130	Jaca	2011	2985	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50251	Tarazona	2008	2947	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50272	Utebo	2008	2930	PP	PARTIDO POPULAR
44013	Alcañiz	2016	2922	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
22048	Barbastro	2011	2897	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22048	Barbastro	2019	2896	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22158	Monzón	2019	2891	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22158	Monzón	2011	2884	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22199	Sabiñánigo	2008	2848	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
44013	Alcañiz	2008	2800	PP	PARTIDO POPULAR
22158	Monzón	2016	2735	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50089	Cuarte de Huerva	2011	2723	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
44013	Alcañiz	2015	2691	F.I.A.	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
44013	Alcañiz	2019	2674	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
50095	Ejea de los Caballeros	2016	2666	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
50095	Ejea de los Caballeros	2008	2640	PP	PARTIDO POPULAR
44025	Andorra	2008	2614	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
