Aragón	Edad	Estado civil	Número hogares
Aragón	16 a 34 años	Solteros/as	12412
Aragón	16 a 34 años	Casados/as	2621
Aragón	16 a 34 años	Viudos/as	51
Aragón	16 a 34 años	Separados/as	613
Aragón	16 a 34 años	Divorciados/as	278
Aragón	35 a 64 años	Solteros/as	17697
Aragón	35 a 64 años	Casados/as	5388
Aragón	35 a 64 años	Viudos/as	3252
Aragón	35 a 64 años	Separados/as	2972
Aragón	35 a 64 años	Divorciados/as	2146
Aragón	Mayores de 64 años	Solteros/as	10634
Aragón	Mayores de 64 años	Casados/as	1918
Aragón	Mayores de 64 años	Viudos/as	38544
Aragón	Mayores de 64 años	Separados/as	810
Aragón	Mayores de 64 años	Divorciados/as	398
