CCAA código	CCAA nombre	Sexo	Nacionalidad Continente codigo	Nacionalidad Continente	Año	Saldo migratorio
02	Aragón	Hombres	1	Europa	2018	767
02	Aragón	Hombres	2	África	2018	2047
02	Aragón	Hombres	3	América	2018	2750
02	Aragón	Hombres	4	Asia	2018	504
02	Aragón	Hombres	5	Otros continentes	2018	1
02	Aragón	Mujeres	1	Europa	2018	829
02	Aragón	Mujeres	2	África	2018	1089
02	Aragón	Mujeres	3	América	2018	4212
02	Aragón	Mujeres	4	Asia	2018	341
02	Aragón	Mujeres	5	Otros continentes	2018	17
02	Aragón	Hombres	1	Europa	2017	664
02	Aragón	Hombres	2	África	2017	78
02	Aragón	Hombres	3	América	2017	525
02	Aragón	Hombres	4	Asia	2017	20
02	Aragón	Hombres	5	Otros continentes	2017	9
02	Aragón	Mujeres	1	Europa	2017	533
02	Aragón	Mujeres	2	África	2017	300
02	Aragón	Mujeres	3	América	2017	1199
02	Aragón	Mujeres	4	Asia	2017	-35
02	Aragón	Mujeres	5	Otros continentes	2017	10
02	Aragón	Hombres	1	Europa	2016	-637
02	Aragón	Hombres	2	África	2016	-236
02	Aragón	Hombres	3	América	2016	733
02	Aragón	Hombres	4	Asia	2016	203
02	Aragón	Hombres	5	Otros continentes	2016	8
02	Aragón	Mujeres	1	Europa	2016	-105
02	Aragón	Mujeres	2	África	2016	344
02	Aragón	Mujeres	3	América	2016	1364
02	Aragón	Mujeres	4	Asia	2016	102
02	Aragón	Mujeres	5	Otros continentes	2016	-4
02	Aragón	Hombres	1	Europa	2015	-927
02	Aragón	Hombres	2	África	2015	-588
02	Aragón	Hombres	3	América	2015	250
02	Aragón	Hombres	4	Asia	2015	8
02	Aragón	Hombres	5	Otros continentes	2015	5
02	Aragón	Mujeres	1	Europa	2015	-615
02	Aragón	Mujeres	2	África	2015	265
02	Aragón	Mujeres	3	América	2015	629
02	Aragón	Mujeres	4	Asia	2015	92
02	Aragón	Mujeres	5	Otros continentes	2015	5
02	Aragón	Hombres	1	Europa	2014	-1057
02	Aragón	Hombres	2	África	2014	712
02	Aragón	Hombres	3	América	2014	65
02	Aragón	Hombres	4	Asia	2014	-59
02	Aragón	Hombres	5	Otros continentes	2014	7
02	Aragón	Mujeres	1	Europa	2014	-656
02	Aragón	Mujeres	2	África	2014	322
02	Aragón	Mujeres	3	América	2014	378
02	Aragón	Mujeres	4	Asia	2014	-19
02	Aragón	Mujeres	5	Otros continentes	2014	8
02	Aragón	Hombres	1	Europa	2013	-1690
02	Aragón	Hombres	2	África	2013	-202
02	Aragón	Hombres	3	América	2013	-251
02	Aragón	Hombres	4	Asia	2013	131
02	Aragón	Hombres	5	Otros continentes	2013	1
02	Aragón	Mujeres	1	Europa	2013	-881
02	Aragón	Mujeres	2	África	2013	201
02	Aragón	Mujeres	3	América	2013	148
02	Aragón	Mujeres	4	Asia	2013	154
02	Aragón	Mujeres	5	Otros continentes	2013	-1
02	Aragón	Hombres	1	Europa	2012	-1337
02	Aragón	Hombres	2	África	2012	-175
02	Aragón	Hombres	3	América	2012	-270
02	Aragón	Hombres	4	Asia	2012	367
02	Aragón	Hombres	5	Otros continentes	2012	-2
02	Aragón	Mujeres	1	Europa	2012	-433
02	Aragón	Mujeres	2	África	2012	178
02	Aragón	Mujeres	3	América	2012	212
02	Aragón	Mujeres	4	Asia	2012	123
02	Aragón	Mujeres	5	Otros continentes	2012	-2
02	Aragón	Hombres	1	Europa	2011	651
02	Aragón	Hombres	2	África	2011	-159
02	Aragón	Hombres	3	América	2011	252
02	Aragón	Hombres	4	Asia	2011	257
02	Aragón	Hombres	5	Otros continentes	2011	3
02	Aragón	Mujeres	1	Europa	2011	1378
02	Aragón	Mujeres	2	África	2011	276
02	Aragón	Mujeres	3	América	2011	967
02	Aragón	Mujeres	4	Asia	2011	170
02	Aragón	Mujeres	5	Otros continentes	2011	1
02	Aragón	Hombres	1	Europa	2010	-100
02	Aragón	Hombres	2	África	2010	-483
02	Aragón	Hombres	3	América	2010	89
02	Aragón	Hombres	4	Asia	2010	320
02	Aragón	Hombres	5	Otros continentes	2010	2
02	Aragón	Mujeres	1	Europa	2010	1068
02	Aragón	Mujeres	2	África	2010	231
02	Aragón	Mujeres	3	América	2010	935
02	Aragón	Mujeres	4	Asia	2010	274
02	Aragón	Mujeres	5	Otros continentes	2010	2
02	Aragón	Hombres	1	Europa	2009	-327
02	Aragón	Hombres	2	África	2009	617
02	Aragón	Hombres	3	América	2009	788
02	Aragón	Hombres	4	Asia	2009	331
02	Aragón	Hombres	5	Otros continentes	2009	3
02	Aragón	Mujeres	1	Europa	2009	755
02	Aragón	Mujeres	2	África	2009	931
02	Aragón	Mujeres	3	América	2009	1508
02	Aragón	Mujeres	4	Asia	2009	254
02	Aragón	Mujeres	5	Otros continentes	2009	4
02	Aragón	Hombres	1	Europa	2008	3830
02	Aragón	Hombres	2	África	2008	3513
02	Aragón	Hombres	3	América	2008	2947
02	Aragón	Hombres	4	Asia	2008	725
02	Aragón	Hombres	5	Otros continentes	2008	7
02	Aragón	Mujeres	1	Europa	2008	3218
02	Aragón	Mujeres	2	África	2008	1708
02	Aragón	Mujeres	3	América	2008	3212
02	Aragón	Mujeres	4	Asia	2008	509
02	Aragón	Mujeres	5	Otros continentes	2008	2
